Source: The cost of PV + Crops (reinforced regular mount) holds panels at 8.2 ft above the ground while maintaining structural integrity under wind and snow loads.
Inter-row spacing is 44 degrees except for vertical mount (90-degree). Panel height taken from Table 1, Page 7, https://www.nrel.gov/docs/fy21osti/77811.pdf
Site preparation cost is included under install labor and equipment and contribute to difference in cost across the scenario.

Suggested Citation
Horowitz, Kelsey, Vignesh Ramasamy, Jordan Macknick and Robert Margolis. 2020. Capital Costs for Dual-Use Photovoltaic Installations: 2020 Benchmark for Ground Mounted PV Systems with Pollinator-Friendly Vegetation, Grazing, and Crops. Golden, CO: National Renewable Energy Laboratory. NREL/TP-6A20-77811. https://www.nrel.gov/docs/fy21osti/77811.pdf.

AV Types	Item	Cost ($)	Panel Height (ft.)	Total Cost ($)
Typical Fixed PV	EPC/Developer Net Profit	0.11	4.6	1.53
Typical Fixed PV	Developer Overhead	0.15	4.6	1.53
Typical Fixed PV	Contingency(3%)	0.05	4.6	1.53
Typical Fixed PV	Interconnection Fee	0.03	4.6	1.53
Typical Fixed PV	Permitting Fee (if any)	0.02	4.6	1.53
Typical Fixed PV	Sale Tax (if any)	0.05	4.6	1.53
Typical Fixed PV	EPC Overhead	0.12	4.6	1.53
Typical Fixed PV	Installation and Labor Cost	0.18	4.6	1.53
Typical Fixed PV	Electrical BOS	0.24	4.6	1.53
Typical Fixed PV	Structural BOS	0.11	4.6	1.53
Typical Fixed PV	Inverter Only	0.08	4.6	1.53
Typical Fixed PV	Module	0.40	4.6	1.53
Typical 1-AT PV	EPC/Developer Net Profit	0.12	4.6	1.66
Typical 1-AT PV	Developer Overhead	0.16	4.6	1.66
Typical 1-AT PV	Contingency(3%)	0.05	4.6	1.66
Typical 1-AT PV	Interconnection Fee	0.03	4.6	1.66
Typical 1-AT PV	Permitting Fee (if any)	0.02	4.6	1.66
Typical 1-AT PV	Sale Tax (if any)	0.05	4.6	1.66
Typical 1-AT PV	EPC Overhead	0.14	4.6	1.66
Typical 1-AT PV	Installation and Labor Cost	0.21	4.6	1.66
Typical 1-AT PV	Electrical BOS	0.24	4.6	1.66
Typical 1-AT PV	Structural BOS	0.16	4.6	1.66
Typical 1-AT PV	Inverter Only	0.08	4.6	1.66
Typical 1-AT PV	Module	0.40	4.6	1.66
Fixed PV + Grazing	EPC/Developer Net Profit	0.12	4.6	1.60
Fixed PV + Grazing	Developer Overhead	0.15	4.6	1.60
Fixed PV + Grazing	Contingency(3%)	0.05	4.6	1.60
Fixed PV + Grazing	Interconnection Fee	0.03	4.6	1.60
Fixed PV + Grazing	Permitting Fee (if any)	0.02	4.6	1.60
Fixed PV + Grazing	Sale Tax (if any)	0.05	4.6	1.60
Fixed PV + Grazing	EPC Overhead	0.13	4.6	1.60
Fixed PV + Grazing	Installation and Labor Cost	0.19	4.6	1.60
Fixed PV + Grazing	Electrical BOS	0.26	4.6	1.60
Fixed PV + Grazing	Structural BOS	0.12	4.6	1.60
Fixed PV + Grazing	Inverter Only	0.08	4.6	1.60
Fixed PV + Grazing	Module	0.40	4.6	1.60
Tracker PV + Grazing	EPC/Developer Net Profit	0.13	4.6	1.73
Tracker PV + Grazing	Developer Overhead	0.17	4.6	1.73
Tracker PV + Grazing	Contingency(3%)	0.06	4.6	1.73
Tracker PV + Grazing	Interconnection Fee	0.03	4.6	1.73
