"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.15Fixed4.6","0.15Fixed6.4","0.15Fixed8.2","0.15Tracking4.6","0.15Tracking6.4","0.15Tracking8.2","0.20Fixed4.6","0.20Fixed6.4","0.20Fixed8.2","0.20Tracking4.6","0.20Tracking6.4","0.20Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.35Fixed4.6","0.35Fixed6.4","0.35Fixed8.2","0.35Tracking4.6","0.35Tracking6.4","0.35Tracking8.2","0.40Fixed4.6","0.40Fixed6.4","0.40Fixed8.2","0.40Tracking4.6","0.40Tracking6.4","0.40Tracking8.2","0.45Fixed4.6","0.45Fixed6.4","0.45Fixed8.2","0.45Tracking4.6","0.45Tracking6.4","0.45Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.55Fixed4.6","0.55Fixed6.4","0.55Fixed8.2","0.55Tracking4.6","0.55Tracking6.4","0.55Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.65Fixed4.6","0.65Fixed6.4","0.65Fixed8.2","0.65Tracking4.6","0.65Tracking6.4","0.65Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","0.95Fixed4.6","0.95Fixed6.4","0.95Fixed8.2","0.95Tracking4.6","0.95Tracking6.4","0.95Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.03170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16871.66,-17215.2,-17857.66,-16856.83,-17108.91,-17360.98,-17603.42,-18290.5,-19575.44,-17575.38,-18079.53,-18583.69,-18335.23,-19365.85,-21293.25,-18291.07,-19047.3,-19803.54,-18335.23,-19365.85,-21293.25,-18291.07,-19047.3,-19803.54,-19067.8,-20441.96,-23011.83,-19008.22,-20016.54,-21024.85,-19799.78,-21517.49,-24729.82,-19725.42,-20985.81,-22246.21,-20532.28,-22593.53,-26448.32,-20443.16,-21955.63,-23468.11,-20532.28,-22593.53,-26448.32,-20443.16,-21955.63,-23468.11,-21264.3,-23669.09,-28166.35,-21160.35,-22924.91,-24689.46,-21996.29,-24744.62,-29884.35,-21877.58,-23894.21,-25910.84,-22728.27,-25820.14,-31602.34,-22594.81,-24863.52,-27132.23,-22728.27,-25820.14,-31602.34,-22594.81,-24863.52,-27132.23,-23460.3,-26895.71,-33320.37,-23312.01,-25832.8,-28353.58,-24192.28,-27971.23,-35038.36,-24029.24,-26802.1,-29574.97,-24924.31,-29046.8,-36756.39,-24746.43,-27771.38,-30796.32,-24924.31,-29046.8,-36756.39,-24746.43,-27771.38,-30796.32,-25656.29,-30122.32,-38474.39,-25463.66,-28740.69,-32017.71,-26388.31,-31197.89,-40192.42,-26180.89,-29709.99,-33239.1,-27120.34,-32273.45,-41910.45,-26898.12,-30679.3,-34460.48
"0.04170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16488.88,-16832.42,-17474.88,-16418.8,-16670.88,-16922.95,-16837.89,-17524.97,-18809.91,-16699.79,-17203.94,-17708.1,-17186.96,-18217.58,-20144.98,-16977.14,-17733.37,-18489.61,-17186.96,-18217.58,-20144.98,-16977.14,-17733.37,-18489.61,-17537,-18911.16,-21481.03,-17256.35,-18264.67,-19272.98,-17886.29,-19604,-22816.33,-17535.62,-18796.01,-20056.41,-18236.24,-20297.49,-24152.28,-17815.58,-19328.05,-20840.53,-18236.24,-20297.49,-24152.28,-17815.58,-19328.05,-20840.53,-18585.58,-20990.37,-25487.63,-18094.84,-19859.4,-21623.95,-18934.88,-21683.21,-26822.94,-18374.15,-20390.78,-22407.41,-19284.17,-22376.04,-28158.24,-18653.46,-20922.17,-23190.88,-19284.17,-22376.04,-28158.24,-18653.46,-20922.17,-23190.88,-19633.52,-23068.93,-29493.59,-18932.73,-21453.52,-23974.3,-19982.81,-23761.76,-30828.89,-19212.04,-21984.9,-24757.77,-20332.16,-24454.65,-32164.24,-19491.3,-22516.25,-25541.19,-20332.16,-24454.65,-32164.24,-19491.3,-22516.25,-25541.19,-20681.45,-25147.48,-33499.55,-19770.61,-23047.64,-26324.66,-21030.79,-25840.37,-34834.9,-20049.92,-23579.02,-27108.13,-21380.14,-26533.25,-36170.25,-20329.23,-24110.41,-27891.59
"0.05170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16106.1,-16449.64,-17092.1,-15980.77,-16232.85,-16484.92,-16072.36,-16759.44,-18044.38,-15824.2,-16328.35,-16832.51,-16038.69,-17069.31,-18996.71,-15663.21,-16419.44,-17175.68,-16038.69,-17069.31,-18996.71,-15663.21,-16419.44,-17175.68,-16006.2,-17380.36,-19950.23,-15504.48,-16512.8,-17521.11,-15972.8,-17690.51,-20902.84,-15345.82,-16606.21,-17866.61,-15940.2,-18001.45,-21856.24,-15188,-16700.47,-18212.95,-15940.2,-18001.45,-21856.24,-15188,-16700.47,-18212.95,-15906.86,-18311.65,-22808.91,-15029.33,-16793.89,-18558.44,-15873.47,-18621.8,-23761.53,-14870.72,-16887.35,-18903.98,-15840.07,-18931.94,-24714.14,-14712.11,-16980.82,-19249.53,-15840.07,-18931.94,-24714.14,-14712.11,-16980.82,-19249.53,-15806.74,-19242.15,-25666.81,-14553.45,-17074.24,-19595.02,-15773.34,-19552.29,-26619.42,-14394.84,-17167.7,-19940.57,-15740.01,-19862.5,-27572.09,-14236.17,-17261.12,-20286.06,-15740.01,-19862.5,-27572.09,-14236.17,-17261.12,-20286.06,-15706.61,-20172.64,-28524.71,-14077.56,-17354.59,-20631.61,-15673.27,-20482.85,-29477.38,-13918.95,-17448.05,-20977.16,-15639.94,-20793.05,-30430.05,-13760.34,-17541.52,-21322.7
"0.03180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-18231.66,-18575.2,-19217.66,-18216.83,-18468.91,-18720.98,-18963.42,-19650.5,-20935.44,-18935.38,-19439.53,-19943.69,-19695.23,-20725.85,-22653.25,-19651.07,-20407.3,-21163.54,-19695.23,-20725.85,-22653.25,-19651.07,-20407.3,-21163.54,-20427.8,-21801.96,-24371.83,-20368.22,-21376.54,-22384.85,-21159.78,-22877.49,-26089.82,-21085.42,-22345.81,-23606.21,-21892.28,-23953.53,-27808.32,-21803.16,-23315.63,-24828.11,-21892.28,-23953.53,-27808.32,-21803.16,-23315.63,-24828.11,-22624.3,-25029.09,-29526.35,-22520.35,-24284.91,-26049.46,-23356.29,-26104.62,-31244.35,-23237.58,-25254.21,-27270.84,-24088.27,-27180.14,-32962.34,-23954.81,-26223.52,-28492.23,-24088.27,-27180.14,-32962.34,-23954.81,-26223.52,-28492.23,-24820.3,-28255.71,-34680.37,-24672.01,-27192.8,-29713.58,-25552.28,-29331.23,-36398.36,-25389.24,-28162.1,-30934.97,-26284.31,-30406.8,-38116.39,-26106.43,-29131.38,-32156.32,-26284.31,-30406.8,-38116.39,-26106.43,-29131.38,-32156.32,-27016.29,-31482.32,-39834.39,-26823.66,-30100.69,-33377.71,-27748.31,-32557.89,-41552.42,-27540.89,-31069.99,-34599.1,-28480.34,-33633.45,-43270.45,-28258.12,-32039.3,-35820.48
"0.04180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17848.88,-18192.42,-18834.88,-17778.8,-18030.88,-18282.95,-18197.89,-18884.97,-20169.91,-18059.79,-18563.94,-19068.1,-18546.96,-19577.58,-21504.98,-18337.14,-19093.37,-19849.61,-18546.96,-19577.58,-21504.98,-18337.14,-19093.37,-19849.61,-18897,-20271.16,-22841.03,-18616.35,-19624.67,-20632.98,-19246.29,-20964,-24176.33,-18895.62,-20156.01,-21416.41,-19596.24,-21657.49,-25512.28,-19175.58,-20688.05,-22200.53,-19596.24,-21657.49,-25512.28,-19175.58,-20688.05,-22200.53,-19945.58,-22350.37,-26847.63,-19454.84,-21219.4,-22983.95,-20294.88,-23043.21,-28182.94,-19734.15,-21750.78,-23767.41,-20644.17,-23736.04,-29518.24,-20013.46,-22282.17,-24550.88,-20644.17,-23736.04,-29518.24,-20013.46,-22282.17,-24550.88,-20993.52,-24428.93,-30853.59,-20292.73,-22813.52,-25334.3,-21342.81,-25121.76,-32188.89,-20572.04,-23344.9,-26117.77,-21692.16,-25814.65,-33524.24,-20851.3,-23876.25,-26901.19,-21692.16,-25814.65,-33524.24,-20851.3,-23876.25,-26901.19,-22041.45,-26507.48,-34859.55,-21130.61,-24407.64,-27684.66,-22390.79,-27200.37,-36194.9,-21409.92,-24939.02,-28468.13,-22740.14,-27893.25,-37530.25,-21689.23,-25470.41,-29251.59
"0.05180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17466.1,-17809.64,-18452.1,-17340.77,-17592.85,-17844.92,-17432.36,-18119.44,-19404.38,-17184.2,-17688.35,-18192.51,-17398.69,-18429.31,-20356.71,-17023.21,-17779.44,-18535.68,-17398.69,-18429.31,-20356.71,-17023.21,-17779.44,-18535.68,-17366.2,-18740.36,-21310.23,-16864.48,-17872.8,-18881.11,-17332.8,-19050.51,-22262.84,-16705.82,-17966.21,-19226.61,-17300.2,-19361.45,-23216.24,-16548,-18060.47,-19572.95,-17300.2,-19361.45,-23216.24,-16548,-18060.47,-19572.95,-17266.86,-19671.65,-24168.91,-16389.33,-18153.89,-19918.44,-17233.47,-19981.8,-25121.53,-16230.72,-18247.35,-20263.98,-17200.07,-20291.94,-26074.14,-16072.11,-18340.82,-20609.53,-17200.07,-20291.94,-26074.14,-16072.11,-18340.82,-20609.53,-17166.74,-20602.15,-27026.81,-15913.45,-18434.24,-20955.02,-17133.34,-20912.29,-27979.42,-15754.84,-18527.7,-21300.57,-17100.01,-21222.5,-28932.09,-15596.17,-18621.12,-21646.06,-17100.01,-21222.5,-28932.09,-15596.17,-18621.12,-21646.06,-17066.61,-21532.64,-29884.71,-15437.56,-18714.59,-21991.61,-17033.27,-21842.85,-30837.38,-15278.95,-18808.05,-22337.16,-16999.94,-22153.05,-31790.05,-15120.34,-18901.52,-22682.7
"0.03190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-19591.66,-19935.2,-20577.66,-19576.83,-19828.91,-20080.98,-20323.42,-21010.5,-22295.44,-20295.38,-20799.53,-21303.69,-21055.23,-22085.85,-24013.25,-21011.07,-21767.3,-22523.54,-21055.23,-22085.85,-24013.25,-21011.07,-21767.3,-22523.54,-21787.8,-23161.96,-25731.83,-21728.22,-22736.54,-23744.85,-22519.78,-24237.49,-27449.82,-22445.42,-23705.81,-24966.21,-23252.28,-25313.53,-29168.32,-23163.16,-24675.63,-26188.11,-23252.28,-25313.53,-29168.32,-23163.16,-24675.63,-26188.11,-23984.3,-26389.09,-30886.35,-23880.35,-25644.91,-27409.46,-24716.29,-27464.62,-32604.35,-24597.58,-26614.21,-28630.84,-25448.27,-28540.14,-34322.34,-25314.81,-27583.52,-29852.23,-25448.27,-28540.14,-34322.34,-25314.81,-27583.52,-29852.23,-26180.3,-29615.71,-36040.37,-26032.01,-28552.8,-31073.58,-26912.28,-30691.23,-37758.36,-26749.24,-29522.1,-32294.97,-27644.31,-31766.8,-39476.39,-27466.43,-30491.38,-33516.32,-27644.31,-31766.8,-39476.39,-27466.43,-30491.38,-33516.32,-28376.29,-32842.32,-41194.39,-28183.66,-31460.69,-34737.71,-29108.31,-33917.89,-42912.42,-28900.89,-32429.99,-35959.1,-29840.34,-34993.45,-44630.45,-29618.12,-33399.3,-37180.48
"0.04190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-19208.88,-19552.42,-20194.88,-19138.8,-19390.88,-19642.95,-19557.89,-20244.97,-21529.91,-19419.79,-19923.94,-20428.1,-19906.96,-20937.58,-22864.98,-19697.14,-20453.37,-21209.61,-19906.96,-20937.58,-22864.98,-19697.14,-20453.37,-21209.61,-20257,-21631.16,-24201.03,-19976.35,-20984.67,-21992.98,-20606.29,-22324,-25536.33,-20255.62,-21516.01,-22776.41,-20956.24,-23017.49,-26872.28,-20535.58,-22048.05,-23560.53,-20956.24,-23017.49,-26872.28,-20535.58,-22048.05,-23560.53,-21305.58,-23710.37,-28207.63,-20814.84,-22579.4,-24343.95,-21654.88,-24403.21,-29542.94,-21094.15,-23110.78,-25127.41,-22004.17,-25096.04,-30878.24,-21373.46,-23642.17,-25910.88,-22004.17,-25096.04,-30878.24,-21373.46,-23642.17,-25910.88,-22353.52,-25788.93,-32213.59,-21652.73,-24173.52,-26694.3,-22702.81,-26481.76,-33548.89,-21932.04,-24704.9,-27477.77,-23052.16,-27174.65,-34884.24,-22211.3,-25236.25,-28261.19,-23052.16,-27174.65,-34884.24,-22211.3,-25236.25,-28261.19,-23401.45,-27867.48,-36219.55,-22490.61,-25767.64,-29044.66,-23750.79,-28560.37,-37554.9,-22769.92,-26299.02,-29828.13,-24100.14,-29253.25,-38890.25,-23049.23,-26830.41,-30611.59
"0.05190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18826.1,-19169.64,-19812.1,-18700.77,-18952.85,-19204.92,-18792.36,-19479.44,-20764.38,-18544.2,-19048.35,-19552.51,-18758.69,-19789.31,-21716.71,-18383.21,-19139.44,-19895.68,-18758.69,-19789.31,-21716.71,-18383.21,-19139.44,-19895.68,-18726.2,-20100.36,-22670.23,-18224.48,-19232.8,-20241.11,-18692.8,-20410.51,-23622.84,-18065.82,-19326.21,-20586.61,-18660.2,-20721.45,-24576.24,-17908,-19420.47,-20932.95,-18660.2,-20721.45,-24576.24,-17908,-19420.47,-20932.95,-18626.86,-21031.65,-25528.91,-17749.33,-19513.89,-21278.44,-18593.47,-21341.8,-26481.53,-17590.72,-19607.35,-21623.98,-18560.07,-21651.94,-27434.14,-17432.11,-19700.82,-21969.53,-18560.07,-21651.94,-27434.14,-17432.11,-19700.82,-21969.53,-18526.74,-21962.15,-28386.81,-17273.45,-19794.24,-22315.02,-18493.34,-22272.29,-29339.42,-17114.84,-19887.7,-22660.57,-18460.01,-22582.5,-30292.09,-16956.17,-19981.12,-23006.06,-18460.01,-22582.5,-30292.09,-16956.17,-19981.12,-23006.06,-18426.61,-22892.64,-31244.71,-16797.56,-20074.59,-23351.61,-18393.27,-23202.85,-32197.38,-16638.95,-20168.05,-23697.16,-18359.94,-23513.05,-33150.05,-16480.34,-20261.52,-24042.7
"0.03200.0Northern",-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20951.66,-21295.2,-21937.66,-20936.83,-21188.91,-21440.98,-21683.42,-22370.5,-23655.44,-21655.38,-22159.53,-22663.69,-22415.23,-23445.85,-25373.25,-22371.07,-23127.3,-23883.54,-22415.23,-23445.85,-25373.25,-22371.07,-23127.3,-23883.54,-23147.8,-24521.96,-27091.83,-23088.22,-24096.54,-25104.85,-23879.78,-25597.49,-28809.82,-23805.42,-25065.81,-26326.21,-24612.28,-26673.53,-30528.32,-24523.16,-26035.63,-27548.11,-24612.28,-26673.53,-30528.32,-24523.16,-26035.63,-27548.11,-25344.3,-27749.09,-32246.35,-25240.35,-27004.91,-28769.46,-26076.29,-28824.62,-33964.35,-25957.58,-27974.21,-29990.84,-26808.27,-29900.14,-35682.34,-26674.81,-28943.52,-31212.23,-26808.27,-29900.14,-35682.34,-26674.81,-28943.52,-31212.23,-27540.3,-30975.71,-37400.37,-27392.01,-29912.8,-32433.58,-28272.28,-32051.23,-39118.36,-28109.24,-30882.1,-33654.97,-29004.31,-33126.8,-40836.39,-28826.43,-31851.38,-34876.32,-29004.31,-33126.8,-40836.39,-28826.43,-31851.38,-34876.32,-29736.29,-34202.32,-42554.39,-29543.66,-32820.69,-36097.71,-30468.31,-35277.89,-44272.42,-30260.89,-33789.99,-37319.1,-31200.34,-36353.45,-45990.45,-30978.12,-34759.3,-38540.48
