"","0.5Fixed4.6","0.5Fixed6.4","0.5Fixed8.2","0.5Tracking4.6","0.5Tracking6.4","0.5Tracking8.2","0.6Fixed4.6","0.6Fixed6.4","0.6Fixed8.2","0.6Tracking4.6","0.6Tracking6.4","0.6Tracking8.2","0.9Fixed4.6","0.9Fixed6.4","0.9Fixed8.2","0.9Tracking4.6","0.9Tracking6.4","0.9Tracking8.2","1.0Fixed4.6","1.0Fixed6.4","1.0Fixed8.2","1.0Tracking4.6","1.0Tracking6.4","1.0Tracking8.2"
"0.023Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.033Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.043Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.026Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.75,0.8,0.5,0.5,0.9,NA,NA,NA,NA,NA,NA
"0.036Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.35,0.15,0.25,0.05,0.15,NA,NA,NA,NA,NA,NA
"0.046Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.85,0.4,0.7,0.8,0.3,NA,NA,NA,NA,NA,NA
"0.029Northern",NA,NA,NA,NA,NA,NA,0.35,0.15,0.9,0.65,0.05,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.039Northern",NA,NA,NA,NA,NA,NA,0.3,0.75,0.05,0.95,0.45,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.049Northern",NA,NA,NA,NA,NA,NA,0.7,0.2,0.6,0.05,0.3,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.023Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
