"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2"
"0.0230.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-15704.57,-16181.85,-17074.42,-15817.94,-16168.15,-16518.36,-22986.35,-24895.47,-28465.76,-23439.64,-24840.48,-26241.33,-30268.4,-33609.35,-39857.36,-31061.87,-33513.35,-35964.82,-35122.83,-39418.34,-47451.49,-36143.15,-39295.05,-42446.94,-37550.07,-42322.86,-51248.59,-38683.76,-42185.87,-45687.98,-42404.53,-48131.87,-58842.75,-43765.01,-47967.54,-52170.07,-42404.53,-48131.87,-58842.75,-43765.01,-47967.54,-52170.07
"0.0330.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-15321.79,-15799.07,-16691.64,-15379.91,-15730.12,-16080.33,-21455.55,-23364.67,-26934.96,-21687.77,-23088.61,-24489.46,-27589.68,-30930.63,-37178.64,-27996.36,-30447.84,-32899.31,-31678.73,-35974.24,-44007.39,-32201.8,-35353.7,-38505.59,-33723.29,-38496.08,-47421.81,-34304.48,-37806.59,-41308.7,-37812.38,-43539.72,-54250.6,-38509.88,-42712.41,-46914.94,-37812.38,-43539.72,-54250.6,-38509.88,-42712.41,-46914.94
"0.0430.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-14939.01,-15416.29,-16308.86,-14941.88,-15292.09,-15642.3,-19924.75,-21833.87,-25404.16,-19935.9,-21336.74,-22737.59,-24910.96,-28251.91,-34499.92,-24930.85,-27382.33,-29833.8,-28234.63,-32530.14,-40563.29,-28260.45,-31412.35,-34564.24,-29896.51,-34669.3,-43595.03,-29925.2,-33427.31,-36929.42,-33220.23,-38947.57,-49658.45,-33254.75,-37457.28,-41659.81,-33220.23,-38947.57,-49658.45,-33254.75,-37457.28,-41659.81
"0.0260.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-15704.57,-16181.85,-17074.42,-15817.94,-16168.15,-16518.36,-22986.35,-24895.47,-28465.76,-23439.64,-24840.48,-26241.33,-30268.4,-33609.35,-39857.36,-31061.87,-33513.35,-35964.82,-35122.83,-39418.34,-47451.49,-36143.15,-39295.05,-42446.94,-37550.07,-42322.86,-51248.59,-38683.76,-42185.87,-45687.98,-42404.53,-48131.87,-58842.75,-43765.01,-47967.54,-52170.07,-42404.53,-48131.87,-58842.75,-43765.01,-47967.54,-52170.07
"0.0360.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-15321.79,-15799.07,-16691.64,-15379.91,-15730.12,-16080.33,-21455.55,-23364.67,-26934.96,-21687.77,-23088.61,-24489.46,-27589.68,-30930.63,-37178.64,-27996.36,-30447.84,-32899.31,-31678.73,-35974.24,-44007.39,-32201.8,-35353.7,-38505.59,-33723.29,-38496.08,-47421.81,-34304.48,-37806.59,-41308.7,-37812.38,-43539.72,-54250.6,-38509.88,-42712.41,-46914.94,-37812.38,-43539.72,-54250.6,-38509.88,-42712.41,-46914.94
"0.0460.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-14939.01,-15416.29,-16308.86,-14941.88,-15292.09,-15642.3,-19924.75,-21833.87,-25404.16,-19935.9,-21336.74,-22737.59,-24910.96,-28251.91,-34499.92,-24930.85,-27382.33,-29833.8,-28234.63,-32530.14,-40563.29,-28260.45,-31412.35,-34564.24,-29896.51,-34669.3,-43595.03,-29925.2,-33427.31,-36929.42,-33220.23,-38947.57,-49658.45,-33254.75,-37457.28,-41659.81,-33220.23,-38947.57,-49658.45,-33254.75,-37457.28,-41659.81
"0.0290.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-15704.57,-16181.85,-17074.42,-15817.94,-16168.15,-16518.36,-22986.35,-24895.47,-28465.76,-23439.64,-24840.48,-26241.33,-30268.4,-33609.35,-39857.36,-31061.87,-33513.35,-35964.82,-35122.83,-39418.34,-47451.49,-36143.15,-39295.05,-42446.94,-37550.07,-42322.86,-51248.59,-38683.76,-42185.87,-45687.98,-42404.53,-48131.87,-58842.75,-43765.01,-47967.54,-52170.07,-42404.53,-48131.87,-58842.75,-43765.01,-47967.54,-52170.07
"0.0390.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-15321.79,-15799.07,-16691.64,-15379.91,-15730.12,-16080.33,-21455.55,-23364.67,-26934.96,-21687.77,-23088.61,-24489.46,-27589.68,-30930.63,-37178.64,-27996.36,-30447.84,-32899.31,-31678.73,-35974.24,-44007.39,-32201.8,-35353.7,-38505.59,-33723.29,-38496.08,-47421.81,-34304.48,-37806.59,-41308.7,-37812.38,-43539.72,-54250.6,-38509.88,-42712.41,-46914.94,-37812.38,-43539.72,-54250.6,-38509.88,-42712.41,-46914.94
"0.0490.0Northern",-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-13277.59,-14939.01,-15416.29,-16308.86,-14941.88,-15292.09,-15642.3,-19924.75,-21833.87,-25404.16,-19935.9,-21336.74,-22737.59,-24910.96,-28251.91,-34499.92,-24930.85,-27382.33,-29833.8,-28234.63,-32530.14,-40563.29,-28260.45,-31412.35,-34564.24,-29896.51,-34669.3,-43595.03,-29925.2,-33427.31,-36929.42,-33220.23,-38947.57,-49658.45,-33254.75,-37457.28,-41659.81,-33220.23,-38947.57,-49658.45,-33254.75,-37457.28,-41659.81
"0.0230.1Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-15127.72,-15604.99,-16497.57,-15241.09,-15591.3,-15941.51,-22409.5,-24318.61,-27888.9,-22862.79,-24263.63,-25664.47,-29691.54,-33032.49,-39280.5,-30485.02,-32936.49,-35387.97,-34545.97,-38841.48,-46874.64,-35566.29,-38718.19,-41870.09,-36973.22,-41746,-50671.73,-38106.9,-41609.01,-45111.12,-41827.67,-47555.02,-58265.89,-43188.15,-47390.68,-51593.21,-41827.67,-47555.02,-58265.89,-43188.15,-47390.68,-51593.21
"0.0330.1Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-14744.94,-15222.21,-16114.79,-14803.06,-15153.27,-15503.48,-20878.7,-22787.81,-26358.1,-21110.92,-22511.76,-23912.6,-27012.82,-30353.77,-36601.78,-27419.51,-29870.98,-32322.46,-31101.87,-35397.38,-43430.54,-31624.94,-34776.84,-37928.74,-33146.44,-37919.22,-46844.95,-33727.62,-37229.73,-40731.84,-37235.52,-42962.87,-53673.74,-37933.02,-42135.55,-46338.08,-37235.52,-42962.87,-53673.74,-37933.02,-42135.55,-46338.08
"0.0430.1Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-14362.16,-14839.43,-15732.01,-14365.03,-14715.24,-15065.45,-19347.9,-21257.01,-24827.3,-19359.05,-20759.89,-22160.73,-24334.1,-27675.05,-33923.06,-24354,-26805.47,-29256.95,-27657.77,-31953.28,-39986.44,-27683.59,-30835.49,-33987.39,-29319.66,-34092.44,-43018.17,-29348.34,-32850.45,-36352.56,-32643.37,-38370.72,-49081.59,-32677.89,-36880.42,-41082.95,-32643.37,-38370.72,-49081.59,-32677.89,-36880.42,-41082.95
