"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.15Fixed4.6","0.15Fixed6.4","0.15Fixed8.2","0.15Tracking4.6","0.15Tracking6.4","0.15Tracking8.2","0.20Fixed4.6","0.20Fixed6.4","0.20Fixed8.2","0.20Tracking4.6","0.20Tracking6.4","0.20Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.35Fixed4.6","0.35Fixed6.4","0.35Fixed8.2","0.35Tracking4.6","0.35Tracking6.4","0.35Tracking8.2","0.40Fixed4.6","0.40Fixed6.4","0.40Fixed8.2","0.40Tracking4.6","0.40Tracking6.4","0.40Tracking8.2","0.45Fixed4.6","0.45Fixed6.4","0.45Fixed8.2","0.45Tracking4.6","0.45Tracking6.4","0.45Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.55Fixed4.6","0.55Fixed6.4","0.55Fixed8.2","0.55Tracking4.6","0.55Tracking6.4","0.55Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.65Fixed4.6","0.65Fixed6.4","0.65Fixed8.2","0.65Tracking4.6","0.65Tracking6.4","0.65Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","0.95Fixed4.6","0.95Fixed6.4","0.95Fixed8.2","0.95Tracking4.6","0.95Tracking6.4","0.95Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.0230.1Northern",-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-4429.33,-4429.84,-4430.81,-4319.11,-4319.49,-4319.86,-3667.02,-3668.05,-3669.98,-3447.46,-3448.22,-3448.97,-2904.74,-2906.28,-2909.17,-2574.26,-2575.39,-2576.52,-2904.74,-2906.28,-2909.17,-2574.26,-2575.39,-2576.52,-2142.87,-2144.93,-2148.78,-1701.85,-1703.36,-1704.87,-1380.68,-1383.26,-1388.07,-829.47,-831.35,-833.24,-618.78,-621.86,-627.63,42.62,40.36,38.09,-618.78,-621.86,-627.63,42.62,40.36,38.09,143.39,139.79,133.05,915.01,912.36,909.72,905.58,901.46,893.76,1787.37,1784.35,1781.33,1667.76,1663.13,1654.47,2659.74,2656.34,2652.94,1667.76,1663.13,1654.47,2659.74,2656.34,2652.94,2429.93,2424.78,2415.16,3532.12,3528.35,3524.57,3192.12,3186.46,3175.87,4404.49,4400.34,4396.18,3954.28,3948.11,3936.56,5276.87,5272.34,5267.81,3954.28,3948.11,3936.56,5276.87,5272.34,5267.81,4716.47,4709.78,4697.27,6149.24,6144.33,6139.43,5478.63,5471.43,5457.96,7021.61,7016.32,7011.04,6240.8,6233.08,6218.65,7893.97,7888.31,7882.65
"0.0330.1Northern",-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-4046.55,-4047.06,-4048.03,-3881.08,-3881.46,-3881.83,-2901.49,-2902.52,-2904.45,-2571.87,-2572.63,-2573.38,-1756.47,-1758.01,-1760.9,-1260.33,-1261.46,-1262.59,-1756.47,-1758.01,-1760.9,-1260.33,-1261.46,-1262.59,-612.07,-614.13,-617.98,50.02,48.51,47,532.81,530.23,525.42,1360.33,1358.45,1356.56,1677.26,1674.18,1668.41,2670.2,2667.94,2665.67,1677.26,1674.18,1668.41,2670.2,2667.94,2665.67,2822.11,2818.51,2811.77,3980.52,3977.87,3975.23,3966.99,3962.87,3955.17,5290.8,5287.78,5284.76,5111.86,5107.23,5098.57,6601.09,6597.69,6594.29,5111.86,5107.23,5098.57,6601.09,6597.69,6594.29,6256.71,6251.56,6241.94,7911.4,7907.63,7903.85,7401.59,7395.93,7385.34,9221.69,9217.54,9213.38,8546.43,8540.26,8528.71,10532,10527.47,10522.94,8546.43,8540.26,8528.71,10532,10527.47,10522.94,9691.31,9684.62,9672.11,11842.29,11837.38,11832.48,10836.15,10828.95,10815.48,13152.58,13147.29,13142.01,11981,11973.28,11958.85,14462.86,14457.2,14451.54
"0.0430.1Northern",-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-3663.77,-3664.28,-3665.25,-3443.05,-3443.43,-3443.8,-2135.96,-2136.99,-2138.92,-1696.28,-1697.04,-1697.79,-608.2,-609.74,-612.63,53.6,52.47,51.34,-608.2,-609.74,-612.63,53.6,52.47,51.34,918.73,916.67,912.82,1801.89,1800.38,1798.87,2446.3,2443.72,2438.91,3550.13,3548.25,3546.36,3973.3,3970.22,3964.45,5297.78,5295.52,5293.25,3973.3,3970.22,3964.45,5297.78,5295.52,5293.25,5500.83,5497.23,5490.49,7046.03,7043.38,7040.74,7028.4,7024.28,7016.58,8794.23,8791.21,8788.19,8555.96,8551.33,8542.67,10542.44,10539.04,10535.64,8555.96,8551.33,8542.67,10542.44,10539.04,10535.64,10083.49,10078.34,10068.72,12290.68,12286.91,12283.13,11611.06,11605.4,11594.81,14038.89,14034.74,14030.58,13138.58,13132.41,13120.86,15787.13,15782.6,15778.07,13138.58,13132.41,13120.86,15787.13,15782.6,15778.07,14666.15,14659.46,14646.95,17535.34,17530.43,17525.53,16193.67,16186.47,16173,19283.55,19278.26,19272.98,17721.2,17713.48,17699.05,21031.75,21026.09,21020.43
"0.0240.1Northern",-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7196.83,-7197.34,-7198.31,-7086.61,-7086.99,-7087.36,-6434.52,-6435.55,-6437.48,-6214.96,-6215.72,-6216.47,-5672.24,-5673.78,-5676.67,-5341.76,-5342.89,-5344.02,-5672.24,-5673.78,-5676.67,-5341.76,-5342.89,-5344.02,-4910.37,-4912.43,-4916.28,-4469.35,-4470.86,-4472.37,-4148.18,-4150.76,-4155.57,-3596.97,-3598.85,-3600.74,-3386.28,-3389.36,-3395.13,-2724.88,-2727.14,-2729.41,-3386.28,-3389.36,-3395.13,-2724.88,-2727.14,-2729.41,-2624.11,-2627.71,-2634.45,-1852.49,-1855.14,-1857.78,-1861.92,-1866.04,-1873.74,-980.13,-983.15,-986.17,-1099.74,-1104.37,-1113.03,-107.76,-111.16,-114.56,-1099.74,-1104.37,-1113.03,-107.76,-111.16,-114.56,-337.57,-342.72,-352.34,764.62,760.85,757.07,424.62,418.96,408.37,1636.99,1632.84,1628.68,1186.78,1180.61,1169.06,2509.37,2504.84,2500.31,1186.78,1180.61,1169.06,2509.37,2504.84,2500.31,1948.97,1942.28,1929.77,3381.74,3376.83,3371.93,2711.13,2703.93,2690.46,4254.11,4248.82,4243.54,3473.3,3465.58,3451.15,5126.47,5120.81,5115.15
"0.0340.1Northern",-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-6814.05,-6814.56,-6815.53,-6648.58,-6648.96,-6649.33,-5668.99,-5670.02,-5671.95,-5339.37,-5340.13,-5340.88,-4523.97,-4525.51,-4528.4,-4027.83,-4028.96,-4030.09,-4523.97,-4525.51,-4528.4,-4027.83,-4028.96,-4030.09,-3379.57,-3381.63,-3385.48,-2717.48,-2718.99,-2720.5,-2234.69,-2237.27,-2242.08,-1407.17,-1409.05,-1410.94,-1090.24,-1093.32,-1099.09,-97.3,-99.56,-101.83,-1090.24,-1093.32,-1099.09,-97.3,-99.56,-101.83,54.61,51.01,44.27,1213.02,1210.37,1207.73,1199.49,1195.37,1187.67,2523.3,2520.28,2517.26,2344.36,2339.73,2331.07,3833.59,3830.19,3826.79,2344.36,2339.73,2331.07,3833.59,3830.19,3826.79,3489.21,3484.06,3474.44,5143.9,5140.13,5136.35,4634.09,4628.43,4617.84,6454.19,6450.04,6445.88,5778.93,5772.76,5761.21,7764.5,7759.97,7755.44,5778.93,5772.76,5761.21,7764.5,7759.97,7755.44,6923.81,6917.12,6904.61,9074.79,9069.88,9064.98,8068.65,8061.45,8047.98,10385.08,10379.79,10374.51,9213.5,9205.78,9191.35,11695.36,11689.7,11684.04
"0.0440.1Northern",-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-7959.2,-6431.27,-6431.78,-6432.75,-6210.55,-6210.93,-6211.3,-4903.46,-4904.49,-4906.42,-4463.78,-4464.54,-4465.29,-3375.7,-3377.24,-3380.13,-2713.9,-2715.03,-2716.16,-3375.7,-3377.24,-3380.13,-2713.9,-2715.03,-2716.16,-1848.77,-1850.83,-1854.68,-965.61,-967.12,-968.63,-321.2,-323.78,-328.59,782.63,780.75,778.86,1205.8,1202.72,1196.95,2530.28,2528.02,2525.75,1205.8,1202.72,1196.95,2530.28,2528.02,2525.75,2733.33,2729.73,2722.99,4278.53,4275.88,4273.24,4260.9,4256.78,4249.08,6026.73,6023.71,6020.69,5788.46,5783.83,5775.17,7774.94,7771.54,7768.14,5788.46,5783.83,5775.17,7774.94,7771.54,7768.14,7315.99,7310.84,7301.22,9523.18,9519.41,9515.63,8843.56,8837.9,8827.31,11271.39,11267.24,11263.08,10371.08,10364.91,10353.36,13019.63,13015.1,13010.57,10371.08,10364.91,10353.36,13019.63,13015.1,13010.57,11898.65,11891.96,11879.45,14767.84,14762.93,14758.03,13426.17,13418.97,13405.5,16516.05,16510.76,16505.48,14953.7,14945.98,14931.55,18264.25,18258.59,18252.93
"0.0250.1Northern",-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-9964.33,-9964.84,-9965.81,-9854.11,-9854.49,-9854.86,-9202.02,-9203.05,-9204.98,-8982.46,-8983.22,-8983.97,-8439.74,-8441.28,-8444.17,-8109.26,-8110.39,-8111.52,-8439.74,-8441.28,-8444.17,-8109.26,-8110.39,-8111.52,-7677.87,-7679.93,-7683.78,-7236.85,-7238.36,-7239.87,-6915.68,-6918.26,-6923.07,-6364.47,-6366.35,-6368.24,-6153.78,-6156.86,-6162.63,-5492.38,-5494.64,-5496.91,-6153.78,-6156.86,-6162.63,-5492.38,-5494.64,-5496.91,-5391.61,-5395.21,-5401.95,-4619.99,-4622.64,-4625.28,-4629.42,-4633.54,-4641.24,-3747.63,-3750.65,-3753.67,-3867.24,-3871.87,-3880.53,-2875.26,-2878.66,-2882.06,-3867.24,-3871.87,-3880.53,-2875.26,-2878.66,-2882.06,-3105.07,-3110.22,-3119.84,-2002.88,-2006.65,-2010.43,-2342.88,-2348.54,-2359.13,-1130.51,-1134.66,-1138.82,-1580.72,-1586.89,-1598.44,-258.13,-262.66,-267.19,-1580.72,-1586.89,-1598.44,-258.13,-262.66,-267.19,-818.53,-825.22,-837.73,614.24,609.33,604.43,-56.37,-63.57,-77.04,1486.61,1481.32,1476.04,705.8,698.08,683.65,2358.97,2353.31,2347.65
"0.0350.1Northern",-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-9581.55,-9582.06,-9583.03,-9416.08,-9416.46,-9416.83,-8436.49,-8437.52,-8439.45,-8106.87,-8107.63,-8108.38,-7291.47,-7293.01,-7295.9,-6795.33,-6796.46,-6797.59,-7291.47,-7293.01,-7295.9,-6795.33,-6796.46,-6797.59,-6147.07,-6149.13,-6152.98,-5484.98,-5486.49,-5488,-5002.19,-5004.77,-5009.58,-4174.67,-4176.55,-4178.44,-3857.74,-3860.82,-3866.59,-2864.8,-2867.06,-2869.33,-3857.74,-3860.82,-3866.59,-2864.8,-2867.06,-2869.33,-2712.89,-2716.49,-2723.23,-1554.48,-1557.13,-1559.77,-1568.01,-1572.13,-1579.83,-244.2,-247.22,-250.24,-423.14,-427.77,-436.43,1066.09,1062.69,1059.29,-423.14,-427.77,-436.43,1066.09,1062.69,1059.29,721.71,716.56,706.94,2376.4,2372.63,2368.85,1866.59,1860.93,1850.34,3686.69,3682.54,3678.38,3011.43,3005.26,2993.71,4997,4992.47,4987.94,3011.43,3005.26,2993.71,4997,4992.47,4987.94,4156.31,4149.62,4137.11,6307.29,6302.38,6297.48,5301.15,5293.95,5280.48,7617.58,7612.29,7607.01,6446,6438.28,6423.85,8927.86,8922.2,8916.54
"0.0450.1Northern",-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-10726.69,-9198.77,-9199.28,-9200.25,-8978.05,-8978.43,-8978.8,-7670.96,-7671.99,-7673.92,-7231.28,-7232.04,-7232.79,-6143.2,-6144.74,-6147.63,-5481.4,-5482.53,-5483.66,-6143.2,-6144.74,-6147.63,-5481.4,-5482.53,-5483.66,-4616.27,-4618.33,-4622.18,-3733.11,-3734.62,-3736.13,-3088.7,-3091.28,-3096.09,-1984.87,-1986.75,-1988.64,-1561.7,-1564.78,-1570.55,-237.22,-239.48,-241.75,-1561.7,-1564.78,-1570.55,-237.22,-239.48,-241.75,-34.17,-37.77,-44.51,1511.03,1508.38,1505.74,1493.4,1489.28,1481.58,3259.23,3256.21,3253.19,3020.96,3016.33,3007.67,5007.44,5004.04,5000.64,3020.96,3016.33,3007.67,5007.44,5004.04,5000.64,4548.49,4543.34,4533.72,6755.68,6751.91,6748.13,6076.06,6070.4,6059.81,8503.89,8499.74,8495.58,7603.58,7597.41,7585.86,10252.13,10247.6,10243.07,7603.58,7597.41,7585.86,10252.13,10247.6,10243.07,9131.15,9124.46,9111.95,12000.34,11995.43,11990.53,10658.67,10651.47,10638,13748.55,13743.26,13737.98,12186.2,12178.48,12164.05,15496.75,15491.09,15485.43
"0.0260.1Northern",-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-12731.83,-12732.34,-12733.31,-12621.61,-12621.99,-12622.36,-11969.52,-11970.55,-11972.48,-11749.96,-11750.72,-11751.47,-11207.24,-11208.78,-11211.67,-10876.76,-10877.89,-10879.02,-11207.24,-11208.78,-11211.67,-10876.76,-10877.89,-10879.02,-10445.37,-10447.43,-10451.28,-10004.35,-10005.86,-10007.37,-9683.18,-9685.76,-9690.57,-9131.97,-9133.85,-9135.74,-8921.28,-8924.36,-8930.13,-8259.88,-8262.14,-8264.41,-8921.28,-8924.36,-8930.13,-8259.88,-8262.14,-8264.41,-8159.11,-8162.71,-8169.45,-7387.49,-7390.14,-7392.78,-7396.92,-7401.04,-7408.74,-6515.13,-6518.15,-6521.17,-6634.74,-6639.37,-6648.03,-5642.76,-5646.16,-5649.56,-6634.74,-6639.37,-6648.03,-5642.76,-5646.16,-5649.56,-5872.57,-5877.72,-5887.34,-4770.38,-4774.15,-4777.93,-5110.38,-5116.04,-5126.63,-3898.01,-3902.16,-3906.32,-4348.22,-4354.39,-4365.94,-3025.63,-3030.16,-3034.69,-4348.22,-4354.39,-4365.94,-3025.63,-3030.16,-3034.69,-3586.03,-3592.72,-3605.23,-2153.26,-2158.17,-2163.07,-2823.87,-2831.07,-2844.54,-1280.89,-1286.18,-1291.46,-2061.7,-2069.42,-2083.85,-408.53,-414.19,-419.85
