"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.15Fixed4.6","0.15Fixed6.4","0.15Fixed8.2","0.15Tracking4.6","0.15Tracking6.4","0.15Tracking8.2","0.20Fixed4.6","0.20Fixed6.4","0.20Fixed8.2","0.20Tracking4.6","0.20Tracking6.4","0.20Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.35Fixed4.6","0.35Fixed6.4","0.35Fixed8.2","0.35Tracking4.6","0.35Tracking6.4","0.35Tracking8.2","0.40Fixed4.6","0.40Fixed6.4","0.40Fixed8.2","0.40Tracking4.6","0.40Tracking6.4","0.40Tracking8.2","0.45Fixed4.6","0.45Fixed6.4","0.45Fixed8.2","0.45Tracking4.6","0.45Tracking6.4","0.45Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.55Fixed4.6","0.55Fixed6.4","0.55Fixed8.2","0.55Tracking4.6","0.55Tracking6.4","0.55Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.65Fixed4.6","0.65Fixed6.4","0.65Fixed8.2","0.65Tracking4.6","0.65Tracking6.4","0.65Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","0.95Fixed4.6","0.95Fixed6.4","0.95Fixed8.2","0.95Tracking4.6","0.95Tracking6.4","0.95Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.02110.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6775.47,-7312.35,-8316.38,-6957.81,-7351.75,-7745.7,-9825.12,-10898.87,-12906.93,-10190.68,-10978.56,-11766.45,-12874.78,-14485.41,-17497.5,-13421.99,-14603.82,-15785.64,-12874.78,-14485.41,-17497.5,-13421.99,-14603.82,-15785.64,-15924.87,-18072.38,-22088.5,-16654.1,-18229.87,-19805.63,-18974.63,-21659.02,-26679.17,-19886.23,-21855.94,-23825.65,-22024.68,-25245.94,-31270.12,-23118.65,-25482.31,-27845.96,-22024.68,-25245.94,-31270.12,-23118.65,-25482.31,-27845.96,-25074.47,-28832.61,-35860.82,-26350.78,-29108.38,-31865.97,-28124.23,-32419.25,-40451.49,-29582.93,-32734.47,-35886.01,-31174,-36005.89,-45042.16,-32815.08,-36360.56,-39906.04,-31174,-36005.89,-45042.16,-32815.08,-36360.56,-39906.04,-34223.79,-39592.56,-49632.86,-36047.21,-39986.63,-43926.05,-37273.55,-43179.2,-54223.53,-39279.36,-43612.72,-47946.09,-40323.34,-46765.86,-58814.22,-42511.48,-47238.79,-51966.1,-40323.34,-46765.86,-58814.22,-42511.48,-47238.79,-51966.1,-43373.11,-50352.51,-63404.9,-45743.63,-50864.88,-55986.13,-46422.89,-53939.17,-67995.59,-48975.78,-54490.97,-60006.16,-49472.68,-57525.83,-72586.28,-52207.93,-58117.06,-64026.2
"0.03110.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6392.69,-6929.57,-7933.6,-6519.78,-6913.72,-7307.67,-9059.59,-10133.34,-12141.4,-9315.09,-10102.97,-10890.86,-11726.51,-13337.14,-16349.23,-12108.06,-13289.89,-14471.71,-11726.51,-13337.14,-16349.23,-12108.06,-13289.89,-14471.71,-14394.07,-16541.58,-20557.7,-14902.23,-16478,-18053.76,-17061.14,-19745.53,-24765.68,-17696.43,-19666.14,-21635.85,-19728.64,-22949.9,-28974.08,-20491.07,-22854.73,-25218.38,-19728.64,-22949.9,-28974.08,-20491.07,-22854.73,-25218.38,-22395.75,-26153.89,-33182.1,-23285.27,-26042.87,-28800.46,-25062.82,-29357.84,-37390.08,-26079.5,-29231.04,-32382.58,-27729.9,-32561.79,-41598.06,-28873.73,-32419.21,-35964.69,-27729.9,-32561.79,-41598.06,-28873.73,-32419.21,-35964.69,-30397.01,-35765.78,-45806.08,-31667.93,-35607.35,-39546.77,-33064.08,-38969.73,-50014.06,-34462.16,-38795.52,-43128.89,-35731.19,-42173.71,-54222.07,-37256.35,-41983.66,-46710.97,-35731.19,-42173.71,-54222.07,-37256.35,-41983.66,-46710.97,-38398.27,-45377.67,-58430.06,-40050.58,-45171.83,-50293.08,-41065.37,-48581.65,-62638.07,-42844.81,-48360,-53875.19,-43732.48,-51785.63,-66846.08,-45639.04,-51548.17,-57457.31
"0.04110.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6009.91,-6546.79,-7550.82,-6081.75,-6475.69,-6869.64,-8294.06,-9367.81,-11375.87,-8439.5,-9227.38,-10015.27,-10578.24,-12188.87,-15200.96,-10794.13,-11975.96,-13157.78,-10578.24,-12188.87,-15200.96,-10794.13,-11975.96,-13157.78,-12863.27,-15010.78,-19026.9,-13150.36,-14726.13,-16301.89,-15147.65,-17832.04,-22852.19,-15506.63,-17476.34,-19446.05,-17432.6,-20653.86,-26678.04,-17863.49,-20227.15,-22590.8,-17432.6,-20653.86,-26678.04,-17863.49,-20227.15,-22590.8,-19717.03,-23475.17,-30503.38,-20219.76,-22977.36,-25734.95,-22001.41,-26296.43,-34328.67,-22576.07,-25727.61,-28879.15,-24285.8,-29117.69,-38153.96,-24932.38,-28477.86,-32023.34,-24285.8,-29117.69,-38153.96,-24932.38,-28477.86,-32023.34,-26570.23,-31939,-41979.3,-27288.65,-31228.07,-35167.49,-28854.61,-34760.26,-45804.59,-29644.96,-33978.32,-38311.69,-31139.04,-37581.56,-49629.92,-32001.22,-36728.53,-41455.84,-31139.04,-37581.56,-49629.92,-32001.22,-36728.53,-41455.84,-33423.43,-40402.83,-53455.22,-34357.53,-39478.78,-44600.03,-35707.85,-43224.13,-57280.55,-36713.84,-42229.03,-47744.22,-37992.28,-46045.43,-61105.88,-39070.15,-44979.28,-50888.42
"0.02120.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6775.47,-7312.35,-8316.38,-6957.81,-7351.75,-7745.7,-9825.12,-10898.87,-12906.93,-10190.68,-10978.56,-11766.45,-12874.78,-14485.41,-17497.5,-13421.99,-14603.82,-15785.64,-12874.78,-14485.41,-17497.5,-13421.99,-14603.82,-15785.64,-15924.87,-18072.38,-22088.5,-16654.1,-18229.87,-19805.63,-18974.63,-21659.02,-26679.17,-19886.23,-21855.94,-23825.65,-22024.68,-25245.94,-31270.12,-23118.65,-25482.31,-27845.96,-22024.68,-25245.94,-31270.12,-23118.65,-25482.31,-27845.96,-25074.47,-28832.61,-35860.82,-26350.78,-29108.38,-31865.97,-28124.23,-32419.25,-40451.49,-29582.93,-32734.47,-35886.01,-31174,-36005.89,-45042.16,-32815.08,-36360.56,-39906.04,-31174,-36005.89,-45042.16,-32815.08,-36360.56,-39906.04,-34223.79,-39592.56,-49632.86,-36047.21,-39986.63,-43926.05,-37273.55,-43179.2,-54223.53,-39279.36,-43612.72,-47946.09,-40323.34,-46765.86,-58814.22,-42511.48,-47238.79,-51966.1,-40323.34,-46765.86,-58814.22,-42511.48,-47238.79,-51966.1,-43373.11,-50352.51,-63404.9,-45743.63,-50864.88,-55986.13,-46422.89,-53939.17,-67995.59,-48975.78,-54490.97,-60006.16,-49472.68,-57525.83,-72586.28,-52207.93,-58117.06,-64026.2
"0.03120.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6392.69,-6929.57,-7933.6,-6519.78,-6913.72,-7307.67,-9059.59,-10133.34,-12141.4,-9315.09,-10102.97,-10890.86,-11726.51,-13337.14,-16349.23,-12108.06,-13289.89,-14471.71,-11726.51,-13337.14,-16349.23,-12108.06,-13289.89,-14471.71,-14394.07,-16541.58,-20557.7,-14902.23,-16478,-18053.76,-17061.14,-19745.53,-24765.68,-17696.43,-19666.14,-21635.85,-19728.64,-22949.9,-28974.08,-20491.07,-22854.73,-25218.38,-19728.64,-22949.9,-28974.08,-20491.07,-22854.73,-25218.38,-22395.75,-26153.89,-33182.1,-23285.27,-26042.87,-28800.46,-25062.82,-29357.84,-37390.08,-26079.5,-29231.04,-32382.58,-27729.9,-32561.79,-41598.06,-28873.73,-32419.21,-35964.69,-27729.9,-32561.79,-41598.06,-28873.73,-32419.21,-35964.69,-30397.01,-35765.78,-45806.08,-31667.93,-35607.35,-39546.77,-33064.08,-38969.73,-50014.06,-34462.16,-38795.52,-43128.89,-35731.19,-42173.71,-54222.07,-37256.35,-41983.66,-46710.97,-35731.19,-42173.71,-54222.07,-37256.35,-41983.66,-46710.97,-38398.27,-45377.67,-58430.06,-40050.58,-45171.83,-50293.08,-41065.37,-48581.65,-62638.07,-42844.81,-48360,-53875.19,-43732.48,-51785.63,-66846.08,-45639.04,-51548.17,-57457.31
"0.04120.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6009.91,-6546.79,-7550.82,-6081.75,-6475.69,-6869.64,-8294.06,-9367.81,-11375.87,-8439.5,-9227.38,-10015.27,-10578.24,-12188.87,-15200.96,-10794.13,-11975.96,-13157.78,-10578.24,-12188.87,-15200.96,-10794.13,-11975.96,-13157.78,-12863.27,-15010.78,-19026.9,-13150.36,-14726.13,-16301.89,-15147.65,-17832.04,-22852.19,-15506.63,-17476.34,-19446.05,-17432.6,-20653.86,-26678.04,-17863.49,-20227.15,-22590.8,-17432.6,-20653.86,-26678.04,-17863.49,-20227.15,-22590.8,-19717.03,-23475.17,-30503.38,-20219.76,-22977.36,-25734.95,-22001.41,-26296.43,-34328.67,-22576.07,-25727.61,-28879.15,-24285.8,-29117.69,-38153.96,-24932.38,-28477.86,-32023.34,-24285.8,-29117.69,-38153.96,-24932.38,-28477.86,-32023.34,-26570.23,-31939,-41979.3,-27288.65,-31228.07,-35167.49,-28854.61,-34760.26,-45804.59,-29644.96,-33978.32,-38311.69,-31139.04,-37581.56,-49629.92,-32001.22,-36728.53,-41455.84,-31139.04,-37581.56,-49629.92,-32001.22,-36728.53,-41455.84,-33423.43,-40402.83,-53455.22,-34357.53,-39478.78,-44600.03,-35707.85,-43224.13,-57280.55,-36713.84,-42229.03,-47744.22,-37992.28,-46045.43,-61105.88,-39070.15,-44979.28,-50888.42
"0.02130.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6775.47,-7312.35,-8316.38,-6957.81,-7351.75,-7745.7,-9825.12,-10898.87,-12906.93,-10190.68,-10978.56,-11766.45,-12874.78,-14485.41,-17497.5,-13421.99,-14603.82,-15785.64,-12874.78,-14485.41,-17497.5,-13421.99,-14603.82,-15785.64,-15924.87,-18072.38,-22088.5,-16654.1,-18229.87,-19805.63,-18974.63,-21659.02,-26679.17,-19886.23,-21855.94,-23825.65,-22024.68,-25245.94,-31270.12,-23118.65,-25482.31,-27845.96,-22024.68,-25245.94,-31270.12,-23118.65,-25482.31,-27845.96,-25074.47,-28832.61,-35860.82,-26350.78,-29108.38,-31865.97,-28124.23,-32419.25,-40451.49,-29582.93,-32734.47,-35886.01,-31174,-36005.89,-45042.16,-32815.08,-36360.56,-39906.04,-31174,-36005.89,-45042.16,-32815.08,-36360.56,-39906.04,-34223.79,-39592.56,-49632.86,-36047.21,-39986.63,-43926.05,-37273.55,-43179.2,-54223.53,-39279.36,-43612.72,-47946.09,-40323.34,-46765.86,-58814.22,-42511.48,-47238.79,-51966.1,-40323.34,-46765.86,-58814.22,-42511.48,-47238.79,-51966.1,-43373.11,-50352.51,-63404.9,-45743.63,-50864.88,-55986.13,-46422.89,-53939.17,-67995.59,-48975.78,-54490.97,-60006.16,-49472.68,-57525.83,-72586.28,-52207.93,-58117.06,-64026.2
"0.03130.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6392.69,-6929.57,-7933.6,-6519.78,-6913.72,-7307.67,-9059.59,-10133.34,-12141.4,-9315.09,-10102.97,-10890.86,-11726.51,-13337.14,-16349.23,-12108.06,-13289.89,-14471.71,-11726.51,-13337.14,-16349.23,-12108.06,-13289.89,-14471.71,-14394.07,-16541.58,-20557.7,-14902.23,-16478,-18053.76,-17061.14,-19745.53,-24765.68,-17696.43,-19666.14,-21635.85,-19728.64,-22949.9,-28974.08,-20491.07,-22854.73,-25218.38,-19728.64,-22949.9,-28974.08,-20491.07,-22854.73,-25218.38,-22395.75,-26153.89,-33182.1,-23285.27,-26042.87,-28800.46,-25062.82,-29357.84,-37390.08,-26079.5,-29231.04,-32382.58,-27729.9,-32561.79,-41598.06,-28873.73,-32419.21,-35964.69,-27729.9,-32561.79,-41598.06,-28873.73,-32419.21,-35964.69,-30397.01,-35765.78,-45806.08,-31667.93,-35607.35,-39546.77,-33064.08,-38969.73,-50014.06,-34462.16,-38795.52,-43128.89,-35731.19,-42173.71,-54222.07,-37256.35,-41983.66,-46710.97,-35731.19,-42173.71,-54222.07,-37256.35,-41983.66,-46710.97,-38398.27,-45377.67,-58430.06,-40050.58,-45171.83,-50293.08,-41065.37,-48581.65,-62638.07,-42844.81,-48360,-53875.19,-43732.48,-51785.63,-66846.08,-45639.04,-51548.17,-57457.31
"0.04130.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6009.91,-6546.79,-7550.82,-6081.75,-6475.69,-6869.64,-8294.06,-9367.81,-11375.87,-8439.5,-9227.38,-10015.27,-10578.24,-12188.87,-15200.96,-10794.13,-11975.96,-13157.78,-10578.24,-12188.87,-15200.96,-10794.13,-11975.96,-13157.78,-12863.27,-15010.78,-19026.9,-13150.36,-14726.13,-16301.89,-15147.65,-17832.04,-22852.19,-15506.63,-17476.34,-19446.05,-17432.6,-20653.86,-26678.04,-17863.49,-20227.15,-22590.8,-17432.6,-20653.86,-26678.04,-17863.49,-20227.15,-22590.8,-19717.03,-23475.17,-30503.38,-20219.76,-22977.36,-25734.95,-22001.41,-26296.43,-34328.67,-22576.07,-25727.61,-28879.15,-24285.8,-29117.69,-38153.96,-24932.38,-28477.86,-32023.34,-24285.8,-29117.69,-38153.96,-24932.38,-28477.86,-32023.34,-26570.23,-31939,-41979.3,-27288.65,-31228.07,-35167.49,-28854.61,-34760.26,-45804.59,-29644.96,-33978.32,-38311.69,-31139.04,-37581.56,-49629.92,-32001.22,-36728.53,-41455.84,-31139.04,-37581.56,-49629.92,-32001.22,-36728.53,-41455.84,-33423.43,-40402.83,-53455.22,-34357.53,-39478.78,-44600.03,-35707.85,-43224.13,-57280.55,-36713.84,-42229.03,-47744.22,-37992.28,-46045.43,-61105.88,-39070.15,-44979.28,-50888.42
"0.02140.0Northern",-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-3725.88,-6775.47,-7312.35,-8316.38,-6957.81,-7351.75,-7745.7,-9825.12,-10898.87,-12906.93,-10190.68,-10978.56,-11766.45,-12874.78,-14485.41,-17497.5,-13421.99,-14603.82,-15785.64,-12874.78,-14485.41,-17497.5,-13421.99,-14603.82,-15785.64,-15924.87,-18072.38,-22088.5,-16654.1,-18229.87,-19805.63,-18974.63,-21659.02,-26679.17,-19886.23,-21855.94,-23825.65,-22024.68,-25245.94,-31270.12,-23118.65,-25482.31,-27845.96,-22024.68,-25245.94,-31270.12,-23118.65,-25482.31,-27845.96,-25074.47,-28832.61,-35860.82,-26350.78,-29108.38,-31865.97,-28124.23,-32419.25,-40451.49,-29582.93,-32734.47,-35886.01,-31174,-36005.89,-45042.16,-32815.08,-36360.56,-39906.04,-31174,-36005.89,-45042.16,-32815.08,-36360.56,-39906.04,-34223.79,-39592.56,-49632.86,-36047.21,-39986.63,-43926.05,-37273.55,-43179.2,-54223.53,-39279.36,-43612.72,-47946.09,-40323.34,-46765.86,-58814.22,-42511.48,-47238.79,-51966.1,-40323.34,-46765.86,-58814.22,-42511.48,-47238.79,-51966.1,-43373.11,-50352.51,-63404.9,-45743.63,-50864.88,-55986.13,-46422.89,-53939.17,-67995.59,-48975.78,-54490.97,-60006.16,-49472.68,-57525.83,-72586.28,-52207.93,-58117.06,-64026.2
