"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.15Fixed4.6","0.15Fixed6.4","0.15Fixed8.2","0.15Tracking4.6","0.15Tracking6.4","0.15Tracking8.2","0.20Fixed4.6","0.20Fixed6.4","0.20Fixed8.2","0.20Tracking4.6","0.20Tracking6.4","0.20Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.35Fixed4.6","0.35Fixed6.4","0.35Fixed8.2","0.35Tracking4.6","0.35Tracking6.4","0.35Tracking8.2","0.40Fixed4.6","0.40Fixed6.4","0.40Fixed8.2","0.40Tracking4.6","0.40Tracking6.4","0.40Tracking8.2","0.45Fixed4.6","0.45Fixed6.4","0.45Fixed8.2","0.45Tracking4.6","0.45Tracking6.4","0.45Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.55Fixed4.6","0.55Fixed6.4","0.55Fixed8.2","0.55Tracking4.6","0.55Tracking6.4","0.55Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.65Fixed4.6","0.65Fixed6.4","0.65Fixed8.2","0.65Tracking4.6","0.65Tracking6.4","0.65Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","0.95Fixed4.6","0.95Fixed6.4","0.95Fixed8.2","0.95Tracking4.6","0.95Tracking6.4","0.95Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.02110.0Northern",-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-9887.09,-10472.67,-11567.78,-10096,-10525.68,-10955.35,-12756.74,-13927.9,-16118.12,-13175.44,-14034.79,-14894.15,-15626.42,-17383.15,-20668.48,-16253.32,-17542.35,-18831.38,-15626.42,-17383.15,-20668.48,-16253.32,-17542.35,-18831.38,-18496.51,-20838.82,-25219.26,-19332,-21050.71,-22769.42,-21366.28,-24294.18,-29769.72,-22410.69,-24559.08,-26707.47,-24236.33,-27749.81,-34320.46,-25489.69,-28067.76,-30645.83,-24236.33,-27749.81,-34320.46,-25489.69,-28067.76,-30645.83,-27106.13,-31205.18,-38870.94,-28568.39,-31576.14,-34583.88,-29975.9,-34660.53,-43421.4,-31647.11,-35084.54,-38521.96,-32845.67,-38115.88,-47971.86,-34725.83,-38592.93,-42460.03,-32845.67,-38115.88,-47971.86,-34725.83,-38592.93,-42460.03,-35715.46,-41571.25,-52522.34,-37804.53,-42101.31,-46398.09,-38585.23,-45026.6,-57072.8,-40883.25,-45609.71,-50336.16,-41455.03,-48481.97,-61623.28,-43961.95,-49118.08,-54274.22,-41455.03,-48481.97,-61623.28,-43961.95,-49118.08,-54274.22,-44324.8,-51937.32,-66173.74,-47040.67,-52626.48,-58212.29,-47194.59,-55392.7,-70724.22,-50119.38,-56134.88,-62150.37,-50064.38,-58848.07,-75274.7,-53198.1,-59643.27,-66088.44
"0.03110.0Northern",-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-9504.31,-10089.89,-11185,-9657.97,-10087.65,-10517.32,-11991.21,-13162.37,-15352.59,-12299.85,-13159.2,-14018.56,-14478.15,-16234.88,-19520.21,-14939.39,-16228.42,-17517.45,-14478.15,-16234.88,-19520.21,-14939.39,-16228.42,-17517.45,-16965.71,-19308.02,-23688.46,-17580.13,-19298.84,-21017.55,-19452.79,-22380.69,-27856.23,-20220.89,-22369.28,-24517.67,-21940.29,-25453.77,-32024.42,-22862.11,-25440.18,-28018.25,-21940.29,-25453.77,-32024.42,-22862.11,-25440.18,-28018.25,-24427.41,-28526.46,-36192.22,-25502.88,-28510.63,-31518.37,-26914.49,-31599.12,-40359.99,-28143.68,-31581.11,-35018.53,-29401.57,-34671.78,-44527.76,-30784.48,-34651.58,-38518.68,-29401.57,-34671.78,-44527.76,-30784.48,-34651.58,-38518.68,-31888.68,-37744.47,-48695.56,-33425.25,-37722.03,-42018.81,-34375.76,-40817.13,-52863.33,-36066.05,-40792.51,-45518.96,-36862.88,-43889.82,-57031.13,-38706.82,-43862.95,-49019.09,-36862.88,-43889.82,-57031.13,-38706.82,-43862.95,-49019.09,-39349.96,-46962.48,-61198.9,-41347.62,-46933.43,-52519.24,-41837.07,-50035.18,-65366.7,-43988.41,-50003.91,-56019.4,-44324.18,-53107.87,-69534.5,-46629.21,-53074.38,-59519.55
"0.04110.0Northern",-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-7017.5,-9121.53,-9707.11,-10802.22,-9219.94,-9649.62,-10079.29,-11225.68,-12396.84,-14587.06,-11424.26,-12283.61,-13142.97,-13329.88,-15086.61,-18371.94,-13625.46,-14914.49,-16203.52,-13329.88,-15086.61,-18371.94,-13625.46,-14914.49,-16203.52,-15434.91,-17777.22,-22157.66,-15828.26,-17546.97,-19265.68,-17539.3,-20467.2,-25942.74,-18031.09,-20179.48,-22327.87,-19644.25,-23157.73,-29728.38,-20234.53,-22812.6,-25390.67,-19644.25,-23157.73,-29728.38,-20234.53,-22812.6,-25390.67,-21748.69,-25847.74,-33513.5,-22437.37,-25445.12,-28452.86,-23853.08,-28537.71,-37298.58,-24640.25,-28077.68,-31515.1,-25957.47,-31227.68,-41083.66,-26843.13,-30710.23,-34577.33,-25957.47,-31227.68,-41083.66,-26843.13,-30710.23,-34577.33,-28061.9,-33917.69,-44868.78,-29045.97,-33342.75,-37639.53,-30166.29,-36607.66,-48653.86,-31248.85,-35975.31,-40701.76,-32270.73,-39297.67,-52438.98,-33451.69,-38607.82,-43763.96,-32270.73,-39297.67,-52438.98,-33451.69,-38607.82,-43763.96,-34375.12,-41987.64,-56224.06,-35654.57,-41240.38,-46826.19,-36479.55,-44677.66,-60009.18,-37857.44,-43872.94,-49888.43,-38583.98,-47367.67,-63794.3,-40060.32,-46505.49,-52950.66
"0.02120.0Northern",-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-10977.09,-11562.67,-12657.78,-11186,-11615.68,-12045.35,-13846.74,-15017.9,-17208.12,-14265.44,-15124.79,-15984.15,-16716.42,-18473.15,-21758.48,-17343.32,-18632.35,-19921.38,-16716.42,-18473.15,-21758.48,-17343.32,-18632.35,-19921.38,-19586.51,-21928.82,-26309.26,-20422,-22140.71,-23859.42,-22456.28,-25384.18,-30859.72,-23500.69,-25649.08,-27797.47,-25326.33,-28839.81,-35410.46,-26579.69,-29157.76,-31735.83,-25326.33,-28839.81,-35410.46,-26579.69,-29157.76,-31735.83,-28196.13,-32295.18,-39960.94,-29658.39,-32666.14,-35673.88,-31065.9,-35750.53,-44511.4,-32737.11,-36174.54,-39611.96,-33935.67,-39205.88,-49061.86,-35815.83,-39682.93,-43550.03,-33935.67,-39205.88,-49061.86,-35815.83,-39682.93,-43550.03,-36805.46,-42661.25,-53612.34,-38894.53,-43191.31,-47488.09,-39675.23,-46116.6,-58162.8,-41973.25,-46699.71,-51426.16,-42545.03,-49571.97,-62713.28,-45051.95,-50208.08,-55364.22,-42545.03,-49571.97,-62713.28,-45051.95,-50208.08,-55364.22,-45414.8,-53027.32,-67263.74,-48130.67,-53716.48,-59302.29,-48284.59,-56482.7,-71814.22,-51209.38,-57224.88,-63240.37,-51154.38,-59938.07,-76364.7,-54288.1,-60733.27,-67178.44
"0.03120.0Northern",-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-10594.31,-11179.89,-12275,-10747.97,-11177.65,-11607.32,-13081.21,-14252.37,-16442.59,-13389.85,-14249.2,-15108.56,-15568.15,-17324.88,-20610.21,-16029.39,-17318.42,-18607.45,-15568.15,-17324.88,-20610.21,-16029.39,-17318.42,-18607.45,-18055.71,-20398.02,-24778.46,-18670.13,-20388.84,-22107.55,-20542.79,-23470.69,-28946.23,-21310.89,-23459.28,-25607.67,-23030.29,-26543.77,-33114.42,-23952.11,-26530.18,-29108.25,-23030.29,-26543.77,-33114.42,-23952.11,-26530.18,-29108.25,-25517.41,-29616.46,-37282.22,-26592.88,-29600.63,-32608.37,-28004.49,-32689.12,-41449.99,-29233.68,-32671.11,-36108.53,-30491.57,-35761.78,-45617.76,-31874.48,-35741.58,-39608.68,-30491.57,-35761.78,-45617.76,-31874.48,-35741.58,-39608.68,-32978.68,-38834.47,-49785.56,-34515.25,-38812.03,-43108.81,-35465.76,-41907.13,-53953.33,-37156.05,-41882.51,-46608.96,-37952.88,-44979.82,-58121.13,-39796.82,-44952.95,-50109.09,-37952.88,-44979.82,-58121.13,-39796.82,-44952.95,-50109.09,-40439.96,-48052.48,-62288.9,-42437.62,-48023.43,-53609.24,-42927.07,-51125.18,-66456.7,-45078.41,-51093.91,-57109.4,-45414.18,-54197.87,-70624.5,-47719.21,-54164.38,-60609.55
"0.04120.0Northern",-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-8107.5,-10211.53,-10797.11,-11892.22,-10309.94,-10739.62,-11169.29,-12315.68,-13486.84,-15677.06,-12514.26,-13373.61,-14232.97,-14419.88,-16176.61,-19461.94,-14715.46,-16004.49,-17293.52,-14419.88,-16176.61,-19461.94,-14715.46,-16004.49,-17293.52,-16524.91,-18867.22,-23247.66,-16918.26,-18636.97,-20355.68,-18629.3,-21557.2,-27032.74,-19121.09,-21269.48,-23417.87,-20734.25,-24247.73,-30818.38,-21324.53,-23902.6,-26480.67,-20734.25,-24247.73,-30818.38,-21324.53,-23902.6,-26480.67,-22838.69,-26937.74,-34603.5,-23527.37,-26535.12,-29542.86,-24943.08,-29627.71,-38388.58,-25730.25,-29167.68,-32605.1,-27047.47,-32317.68,-42173.66,-27933.13,-31800.23,-35667.33,-27047.47,-32317.68,-42173.66,-27933.13,-31800.23,-35667.33,-29151.9,-35007.69,-45958.78,-30135.97,-34432.75,-38729.53,-31256.29,-37697.66,-49743.86,-32338.85,-37065.31,-41791.76,-33360.73,-40387.67,-53528.98,-34541.69,-39697.82,-44853.96,-33360.73,-40387.67,-53528.98,-34541.69,-39697.82,-44853.96,-35465.12,-43077.64,-57314.06,-36744.57,-42330.38,-47916.19,-37569.55,-45767.66,-61099.18,-38947.44,-44962.94,-50978.43,-39673.98,-48457.67,-64884.3,-41150.32,-47595.49,-54040.66
"0.02130.0Northern",-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-12067.09,-12652.67,-13747.78,-12276,-12705.68,-13135.35,-14936.74,-16107.9,-18298.12,-15355.44,-16214.79,-17074.15,-17806.42,-19563.15,-22848.48,-18433.32,-19722.35,-21011.38,-17806.42,-19563.15,-22848.48,-18433.32,-19722.35,-21011.38,-20676.51,-23018.82,-27399.26,-21512,-23230.71,-24949.42,-23546.28,-26474.18,-31949.72,-24590.69,-26739.08,-28887.47,-26416.33,-29929.81,-36500.46,-27669.69,-30247.76,-32825.83,-26416.33,-29929.81,-36500.46,-27669.69,-30247.76,-32825.83,-29286.13,-33385.18,-41050.94,-30748.39,-33756.14,-36763.88,-32155.9,-36840.53,-45601.4,-33827.11,-37264.54,-40701.96,-35025.67,-40295.88,-50151.86,-36905.83,-40772.93,-44640.03,-35025.67,-40295.88,-50151.86,-36905.83,-40772.93,-44640.03,-37895.46,-43751.25,-54702.34,-39984.53,-44281.31,-48578.09,-40765.23,-47206.6,-59252.8,-43063.25,-47789.71,-52516.16,-43635.03,-50661.97,-63803.28,-46141.95,-51298.08,-56454.22,-43635.03,-50661.97,-63803.28,-46141.95,-51298.08,-56454.22,-46504.8,-54117.32,-68353.74,-49220.67,-54806.48,-60392.29,-49374.59,-57572.7,-72904.22,-52299.38,-58314.88,-64330.37,-52244.38,-61028.07,-77454.7,-55378.1,-61823.27,-68268.44
"0.03130.0Northern",-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-11684.31,-12269.89,-13365,-11837.97,-12267.65,-12697.32,-14171.21,-15342.37,-17532.59,-14479.85,-15339.2,-16198.56,-16658.15,-18414.88,-21700.21,-17119.39,-18408.42,-19697.45,-16658.15,-18414.88,-21700.21,-17119.39,-18408.42,-19697.45,-19145.71,-21488.02,-25868.46,-19760.13,-21478.84,-23197.55,-21632.79,-24560.69,-30036.23,-22400.89,-24549.28,-26697.67,-24120.29,-27633.77,-34204.42,-25042.11,-27620.18,-30198.25,-24120.29,-27633.77,-34204.42,-25042.11,-27620.18,-30198.25,-26607.41,-30706.46,-38372.22,-27682.88,-30690.63,-33698.37,-29094.49,-33779.12,-42539.99,-30323.68,-33761.11,-37198.53,-31581.57,-36851.78,-46707.76,-32964.48,-36831.58,-40698.68,-31581.57,-36851.78,-46707.76,-32964.48,-36831.58,-40698.68,-34068.68,-39924.47,-50875.56,-35605.25,-39902.03,-44198.81,-36555.76,-42997.13,-55043.33,-38246.05,-42972.51,-47698.96,-39042.88,-46069.82,-59211.13,-40886.82,-46042.95,-51199.09,-39042.88,-46069.82,-59211.13,-40886.82,-46042.95,-51199.09,-41529.96,-49142.48,-63378.9,-43527.62,-49113.43,-54699.24,-44017.07,-52215.18,-67546.7,-46168.41,-52183.91,-58199.4,-46504.18,-55287.87,-71714.5,-48809.21,-55254.38,-61699.55
"0.04130.0Northern",-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-9197.5,-11301.53,-11887.11,-12982.22,-11399.94,-11829.62,-12259.29,-13405.68,-14576.84,-16767.06,-13604.26,-14463.61,-15322.97,-15509.88,-17266.61,-20551.94,-15805.46,-17094.49,-18383.52,-15509.88,-17266.61,-20551.94,-15805.46,-17094.49,-18383.52,-17614.91,-19957.22,-24337.66,-18008.26,-19726.97,-21445.68,-19719.3,-22647.2,-28122.74,-20211.09,-22359.48,-24507.87,-21824.25,-25337.73,-31908.38,-22414.53,-24992.6,-27570.67,-21824.25,-25337.73,-31908.38,-22414.53,-24992.6,-27570.67,-23928.69,-28027.74,-35693.5,-24617.37,-27625.12,-30632.86,-26033.08,-30717.71,-39478.58,-26820.25,-30257.68,-33695.1,-28137.47,-33407.68,-43263.66,-29023.13,-32890.23,-36757.33,-28137.47,-33407.68,-43263.66,-29023.13,-32890.23,-36757.33,-30241.9,-36097.69,-47048.78,-31225.97,-35522.75,-39819.53,-32346.29,-38787.66,-50833.86,-33428.85,-38155.31,-42881.76,-34450.73,-41477.67,-54618.98,-35631.69,-40787.82,-45943.96,-34450.73,-41477.67,-54618.98,-35631.69,-40787.82,-45943.96,-36555.12,-44167.64,-58404.06,-37834.57,-43420.38,-49006.19,-38659.55,-46857.66,-62189.18,-40037.44,-46052.94,-52068.43,-40763.98,-49547.67,-65974.3,-42240.32,-48685.49,-55130.66
"0.02140.0Northern",-10287.5,-10287.5,-10287.5,-10287.5,-10287.5,-10287.5,-10287.5,-10287.5,-10287.5,-10287.5,-10287.5,-10287.5,-13157.09,-13742.67,-14837.78,-13366,-13795.68,-14225.35,-16026.74,-17197.9,-19388.12,-16445.44,-17304.79,-18164.15,-18896.42,-20653.15,-23938.48,-19523.32,-20812.35,-22101.38,-18896.42,-20653.15,-23938.48,-19523.32,-20812.35,-22101.38,-21766.51,-24108.82,-28489.26,-22602,-24320.71,-26039.42,-24636.28,-27564.18,-33039.72,-25680.69,-27829.08,-29977.47,-27506.33,-31019.81,-37590.46,-28759.69,-31337.76,-33915.83,-27506.33,-31019.81,-37590.46,-28759.69,-31337.76,-33915.83,-30376.13,-34475.18,-42140.94,-31838.39,-34846.14,-37853.88,-33245.9,-37930.53,-46691.4,-34917.11,-38354.54,-41791.96,-36115.67,-41385.88,-51241.86,-37995.83,-41862.93,-45730.03,-36115.67,-41385.88,-51241.86,-37995.83,-41862.93,-45730.03,-38985.46,-44841.25,-55792.34,-41074.53,-45371.31,-49668.09,-41855.23,-48296.6,-60342.8,-44153.25,-48879.71,-53606.16,-44725.03,-51751.97,-64893.28,-47231.95,-52388.08,-57544.22,-44725.03,-51751.97,-64893.28,-47231.95,-52388.08,-57544.22,-47594.8,-55207.32,-69443.74,-50310.67,-55896.48,-61482.29,-50464.59,-58662.7,-73994.22,-53389.38,-59404.88,-65420.37,-53334.38,-62118.07,-78544.7,-56468.1,-62913.27,-69358.44
