"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.0217Northern",NA,NA,NA,NA,NA,NA,1768,1768,1904,1768,1768,1904,2040,2312,2720,2176,2312,2448,2448,2720,NA,2448,2720,NA,2584,NA,NA,2584,NA,NA,2584,NA,NA,2584,NA,NA,2584,NA,NA,2720,NA,NA,NA,NA,NA,NA,NA,NA
"0.0317Northern",NA,NA,NA,NA,NA,NA,1632,1632,1904,1632,1632,1768,1904,2040,2448,1904,2040,2176,2040,2448,NA,2040,2312,2584,2176,2448,NA,2176,2448,2720,2176,2448,NA,2176,2448,2720,2176,2584,NA,2176,2448,2720,2312,2720,NA,2312,2720,NA
"0.0417Northern",NA,NA,NA,NA,NA,NA,1496,1632,1768,1496,1496,1632,1632,1904,2176,1632,1768,1904,1768,2040,2720,1632,1904,2176,1768,2176,2720,1768,1904,2176,1768,2176,2720,1768,1904,2176,1768,2176,NA,1768,2040,2312,1904,2312,NA,1768,2040,2448
"0.0220Northern",NA,NA,NA,NA,NA,NA,1632,1768,1904,1632,1768,1768,1904,2176,2448,1904,2040,2176,2312,2448,NA,2312,2448,2720,2312,2584,NA,2312,2584,2720,2312,2584,NA,2312,2584,2720,2448,2720,NA,2448,2720,NA,2584,NA,NA,2584,NA,NA
"0.0320Northern",NA,NA,NA,NA,NA,NA,1632,1632,1768,1632,1632,1632,1768,1904,2176,1768,1904,2040,1904,2176,2720,1904,2176,2312,2040,2312,NA,2040,2176,2448,2040,2312,NA,2040,2176,2448,2040,2312,NA,2040,2312,2448,2176,2448,NA,2176,2448,2720
"0.0420Northern",NA,NA,NA,NA,NA,NA,1496,1632,1632,1496,1496,1632,1632,1768,2040,1496,1632,1768,1632,1904,2448,1632,1768,2040,1768,2040,2448,1632,1904,2040,1768,2040,2448,1632,1904,2040,1768,2040,2584,1632,1904,2176,1768,2176,2720,1768,1904,2176
"0.0223Northern",NA,NA,NA,NA,NA,NA,1632,1632,1768,1632,1632,1768,1904,2040,2312,1904,2040,2040,2176,2312,2720,2176,2312,2448,2176,2448,NA,2176,2312,2584,2176,2448,NA,2176,2312,2584,2176,2448,NA,2312,2448,2584,2312,2720,NA,2448,2584,NA
"0.0323Northern",NA,NA,NA,NA,NA,NA,1496,1632,1768,1496,1632,1632,1768,1904,2040,1768,1768,1904,1904,2040,2448,1904,2040,2176,1904,2176,2584,1904,2040,2312,1904,2176,2584,1904,2040,2312,1904,2176,2720,1904,2176,2312,2040,2312,NA,2040,2176,2448
"0.0423Northern",NA,NA,NA,NA,NA,NA,1496,1496,1632,1496,1496,1496,1632,1632,1904,1496,1632,1768,1632,1904,2312,1632,1768,1904,1632,1904,2312,1632,1768,1904,1632,1904,2312,1632,1768,1904,1632,1904,2448,1632,1768,2040,1768,2040,2584,1632,1904,2040
"0.0217Central",NA,NA,NA,NA,NA,NA,1768,1768,1904,1768,1768,1768,2040,2312,2584,2040,2176,2312,2448,2720,NA,2448,2720,NA,2584,NA,NA,2584,NA,NA,2584,NA,NA,2584,NA,NA,2584,NA,NA,2584,NA,NA,NA,NA,NA,NA,NA,NA
"0.0317Central",NA,NA,NA,NA,NA,NA,1632,1632,1904,1632,1632,1768,1768,2040,2448,1768,1904,2040,2040,2312,NA,2040,2312,2448,2176,2448,NA,2040,2312,2584,2176,2448,NA,2040,2312,2584,2176,2584,NA,2176,2448,2720,2312,2720,NA,2176,2584,NA
"0.0417Central",NA,NA,NA,NA,NA,NA,1496,1632,1768,1496,1496,1632,1632,1768,2176,1496,1632,1768,1632,2040,2584,1632,1768,2040,1768,2040,2720,1632,1904,2176,1768,2040,2720,1632,1904,2176,1768,2176,NA,1632,1904,2176,1768,2176,NA,1632,2040,2312
"0.0220Central",NA,NA,NA,NA,NA,NA,1632,1768,1904,1632,1768,1768,1904,2040,2448,1904,2040,2176,2176,2448,NA,2176,2448,2584,2312,2584,NA,2312,2584,2720,2312,2584,NA,2312,2584,2720,2312,2720,NA,2448,2584,NA,2448,NA,NA,2584,NA,NA
"0.0320Central",NA,NA,NA,NA,NA,NA,1632,1632,1768,1496,1632,1632,1768,1904,2176,1768,1904,1904,1904,2176,2720,1904,2040,2312,2040,2312,2720,1904,2176,2312,2040,2312,2720,1904,2176,2312,2040,2312,NA,2040,2176,2448,2176,2448,NA,2040,2312,2584
"0.0420Central",NA,NA,NA,NA,NA,NA,1496,1496,1632,1496,1496,1632,1496,1768,2040,1496,1632,1768,1632,1904,2312,1496,1768,1904,1632,1904,2448,1632,1768,2040,1632,1904,2448,1632,1768,2040,1632,2040,2584,1632,1768,2040,1768,2040,2720,1632,1904,2176
"0.0223Central",NA,NA,NA,NA,NA,NA,1632,1632,1768,1632,1632,1632,1904,2040,2176,1904,1904,2040,2040,2312,2720,2040,2312,2448,2176,2448,NA,2176,2312,2448,2176,2448,NA,2176,2312,2448,2176,2448,NA,2176,2448,2584,2312,2584,NA,2312,2584,2720
"0.0323Central",NA,NA,NA,NA,NA,NA,1496,1632,1768,1496,1632,1632,1632,1768,2040,1632,1768,1904,1904,2040,2448,1768,2040,2176,1904,2176,2584,1904,2040,2176,1904,2176,2584,1904,2040,2176,1904,2176,2584,1904,2040,2312,2040,2312,NA,1904,2176,2448
"0.0423Central",NA,NA,NA,NA,NA,NA,1496,1496,1632,1496,1496,1496,1496,1632,1904,1496,1632,1632,1632,1768,2176,1496,1632,1904,1632,1904,2312,1496,1768,1904,1632,1904,2312,1496,1768,1904,1632,1904,2312,1496,1768,1904,1632,1904,2448,1632,1768,2040
