"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2"
"0.02170.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-13470,-14056,-15151,-13679,-14109,-14538,-22080,-24422,-28802,-22915,-24634,-26353,-30689,-34788,-42454,-32152,-35159,-38167,-36429,-41699,-51555,-38309,-42176,-46043,-39299,-45154,-56105,-41388,-45684,-49981,-45038,-52065,-65206,-47545,-52701,-57857,-45038,-52065,-65206,-47545,-52701,-57857
"0.03170.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-13087,-13673,-14768,-13241,-13671,-14100,-20549,-22891,-27272,-21163,-22882,-24601,-28011,-32110,-39775,-29086,-32094,-35101,-32985,-38255,-48111,-34368,-38235,-42102,-35472,-41328,-52279,-37008,-41305,-45602,-40446,-47473,-60614,-42290,-47446,-52602,-40446,-47473,-60614,-42290,-47446,-52602
"0.04170.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-12705,-13290,-14385,-12803,-13233,-13662,-19018,-21360,-25741,-19411,-21130,-22849,-25332,-29431,-37097,-26020,-29028,-32036,-29541,-34811,-44667,-30426,-34293,-38160,-31645,-37501,-48452,-32629,-36926,-41223,-35854,-42881,-56022,-37035,-42191,-47347,-35854,-42881,-56022,-37035,-42191,-47347
"0.02200.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-13470,-14056,-15151,-13679,-14109,-14538,-22080,-24422,-28802,-22915,-24634,-26353,-30689,-34788,-42454,-32152,-35159,-38167,-36429,-41699,-51555,-38309,-42176,-46043,-39299,-45154,-56105,-41388,-45684,-49981,-45038,-52065,-65206,-47545,-52701,-57857,-45038,-52065,-65206,-47545,-52701,-57857
"0.03200.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-13087,-13673,-14768,-13241,-13671,-14100,-20549,-22891,-27272,-21163,-22882,-24601,-28011,-32110,-39775,-29086,-32094,-35101,-32985,-38255,-48111,-34368,-38235,-42102,-35472,-41328,-52279,-37008,-41305,-45602,-40446,-47473,-60614,-42290,-47446,-52602,-40446,-47473,-60614,-42290,-47446,-52602
"0.04200.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-12705,-13290,-14385,-12803,-13233,-13662,-19018,-21360,-25741,-19411,-21130,-22849,-25332,-29431,-37097,-26020,-29028,-32036,-29541,-34811,-44667,-30426,-34293,-38160,-31645,-37501,-48452,-32629,-36926,-41223,-35854,-42881,-56022,-37035,-42191,-47347,-35854,-42881,-56022,-37035,-42191,-47347
"0.02230.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-13470,-14056,-15151,-13679,-14109,-14538,-22080,-24422,-28802,-22915,-24634,-26353,-30689,-34788,-42454,-32152,-35159,-38167,-36429,-41699,-51555,-38309,-42176,-46043,-39299,-45154,-56105,-41388,-45684,-49981,-45038,-52065,-65206,-47545,-52701,-57857,-45038,-52065,-65206,-47545,-52701,-57857
"0.03230.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-13087,-13673,-14768,-13241,-13671,-14100,-20549,-22891,-27272,-21163,-22882,-24601,-28011,-32110,-39775,-29086,-32094,-35101,-32985,-38255,-48111,-34368,-38235,-42102,-35472,-41328,-52279,-37008,-41305,-45602,-40446,-47473,-60614,-42290,-47446,-52602,-40446,-47473,-60614,-42290,-47446,-52602
"0.04230.0Northern",-10601,-10601,-10601,-10601,-10601,-10601,-12705,-13290,-14385,-12803,-13233,-13662,-19018,-21360,-25741,-19411,-21130,-22849,-25332,-29431,-37097,-26020,-29028,-32036,-29541,-34811,-44667,-30426,-34293,-38160,-31645,-37501,-48452,-32629,-36926,-41223,-35854,-42881,-56022,-37035,-42191,-47347,-35854,-42881,-56022,-37035,-42191,-47347
"0.02170.1Northern",-8987,-8987,-8987,-8987,-8987,-8987,-11856,-12442,-13537,-12065,-12495,-12924,-20466,-22808,-27188,-21301,-23020,-24739,-29075,-33174,-40840,-30538,-33545,-36553,-34815,-40085,-49941,-36695,-40562,-44429,-37685,-43540,-54491,-39774,-44070,-48367,-43424,-50451,-63592,-45931,-51087,-56243,-43424,-50451,-63592,-45931,-51087,-56243
