"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.15Fixed4.6","0.15Fixed6.4","0.15Fixed8.2","0.15Tracking4.6","0.15Tracking6.4","0.15Tracking8.2","0.20Fixed4.6","0.20Fixed6.4","0.20Fixed8.2","0.20Tracking4.6","0.20Tracking6.4","0.20Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.35Fixed4.6","0.35Fixed6.4","0.35Fixed8.2","0.35Tracking4.6","0.35Tracking6.4","0.35Tracking8.2","0.40Fixed4.6","0.40Fixed6.4","0.40Fixed8.2","0.40Tracking4.6","0.40Tracking6.4","0.40Tracking8.2","0.45Fixed4.6","0.45Fixed6.4","0.45Fixed8.2","0.45Tracking4.6","0.45Tracking6.4","0.45Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.55Fixed4.6","0.55Fixed6.4","0.55Fixed8.2","0.55Tracking4.6","0.55Tracking6.4","0.55Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.65Fixed4.6","0.65Fixed6.4","0.65Fixed8.2","0.65Tracking4.6","0.65Tracking6.4","0.65Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","0.95Fixed4.6","0.95Fixed6.4","0.95Fixed8.2","0.95Tracking4.6","0.95Tracking6.4","0.95Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.03170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-15772.94,-15939.5,-16250.97,-15661.58,-15783.79,-15906,-15406,-15739.1,-16362.05,-15184.87,-15429.29,-15673.71,-15039.09,-15538.75,-16473.17,-14705.31,-15071.95,-15438.58,-15039.09,-15538.75,-16473.17,-14705.31,-15071.95,-15438.58,-14672.95,-15339.16,-16585.05,-14227.22,-14716.06,-15204.9,-14306.23,-15138.98,-16696.35,-13749.16,-14360.21,-14971.27,-13940.01,-14939.32,-16808.17,-13271.65,-14004.92,-14738.18,-13940.01,-14939.32,-16808.17,-13271.65,-14004.92,-14738.18,-13573.32,-14739.19,-16919.5,-12793.6,-13649.07,-14504.54,-13206.6,-14539.01,-17030.8,-12315.58,-13293.26,-14270.94,-12839.87,-14338.84,-17142.1,-11837.56,-12937.45,-14037.34,-12839.87,-14338.84,-17142.1,-11837.56,-12937.45,-14037.34,-12473.18,-14138.7,-17253.44,-11359.5,-12581.6,-13803.7,-12106.46,-13938.53,-17364.74,-10881.48,-12225.79,-13570.1,-11739.77,-13738.39,-17476.08,-10403.42,-11869.94,-13336.46,-11739.77,-13738.39,-17476.08,-10403.42,-11869.94,-13336.46,-11373.04,-13538.22,-17587.38,-9925.4,-11514.13,-13102.86,-11006.35,-13338.08,-17698.71,-9447.38,-11158.32,-12869.26,-10639.66,-13137.94,-17810.05,-8969.36,-10802.51,-12635.66
"0.04170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-15390.16,-15556.72,-15868.19,-15223.55,-15345.76,-15467.97,-14640.47,-14973.57,-15596.52,-14309.28,-14553.7,-14798.12,-13890.82,-14390.48,-15324.9,-13391.38,-13758.02,-14124.65,-13890.82,-14390.48,-15324.9,-13391.38,-13758.02,-14124.65,-13142.15,-13808.36,-15054.25,-12475.35,-12964.19,-13453.03,-12392.74,-13225.49,-14782.86,-11559.36,-12170.41,-12781.47,-11643.97,-12643.28,-14512.13,-10644.07,-11377.34,-12110.6,-11643.97,-12643.28,-14512.13,-10644.07,-11377.34,-12110.6,-10894.6,-12060.47,-14240.78,-9728.09,-10583.56,-11439.03,-10145.19,-11477.6,-13969.39,-8812.15,-9789.83,-10767.51,-9395.77,-10894.74,-13698,-7896.21,-8996.1,-10095.99,-9395.77,-10894.74,-13698,-7896.21,-8996.1,-10095.99,-8646.4,-10311.92,-13426.66,-6980.22,-8202.32,-9424.42,-7896.99,-9729.06,-13155.27,-6064.28,-7408.59,-8752.9,-7147.62,-9146.24,-12883.93,-5148.29,-6614.81,-8081.33,-7147.62,-9146.24,-12883.93,-5148.29,-6614.81,-8081.33,-6398.2,-8563.38,-12612.54,-4232.35,-5821.08,-7409.81,-5648.83,-7980.56,-12341.19,-3316.41,-5027.35,-6738.29,-4899.46,-7397.74,-12069.85,-2400.47,-4233.62,-6066.77
"0.05170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-15007.38,-15173.94,-15485.41,-14785.52,-14907.73,-15029.94,-13874.94,-14208.04,-14830.99,-13433.69,-13678.11,-13922.53,-12742.55,-13242.21,-14176.63,-12077.45,-12444.09,-12810.72,-12742.55,-13242.21,-14176.63,-12077.45,-12444.09,-12810.72,-11611.35,-12277.56,-13523.45,-10723.48,-11212.32,-11701.16,-10479.25,-11312,-12869.37,-9369.56,-9980.61,-10591.67,-9347.93,-10347.24,-12216.09,-8016.49,-8749.76,-9483.02,-9347.93,-10347.24,-12216.09,-8016.49,-8749.76,-9483.02,-8215.88,-9381.75,-11562.06,-6662.58,-7518.05,-8373.52,-7083.78,-8416.19,-10907.98,-5308.72,-6286.4,-7264.08,-5951.67,-7450.64,-10253.9,-3954.86,-5054.75,-6154.64,-5951.67,-7450.64,-10253.9,-3954.86,-5054.75,-6154.64,-4819.62,-6485.14,-9599.88,-2600.94,-3823.04,-5045.14,-3687.52,-5519.59,-8945.8,-1247.08,-2591.39,-3935.7,-2555.47,-4554.09,-8291.78,106.84,-1359.68,-2826.2,-2555.47,-4554.09,-8291.78,106.84,-1359.68,-2826.2,-1423.36,-3588.54,-7637.7,1460.7,-128.03,-1716.76,-291.31,-2623.04,-6983.67,2814.56,1103.62,-607.32,840.74,-1657.54,-6329.65,4168.42,2335.27,502.12
"0.03180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17132.94,-17299.5,-17610.97,-17021.58,-17143.79,-17266,-16766,-17099.1,-17722.05,-16544.87,-16789.29,-17033.71,-16399.09,-16898.75,-17833.17,-16065.31,-16431.95,-16798.58,-16399.09,-16898.75,-17833.17,-16065.31,-16431.95,-16798.58,-16032.95,-16699.16,-17945.05,-15587.22,-16076.06,-16564.9,-15666.23,-16498.98,-18056.35,-15109.16,-15720.21,-16331.27,-15300.01,-16299.32,-18168.17,-14631.65,-15364.92,-16098.18,-15300.01,-16299.32,-18168.17,-14631.65,-15364.92,-16098.18,-14933.32,-16099.19,-18279.5,-14153.6,-15009.07,-15864.54,-14566.6,-15899.01,-18390.8,-13675.58,-14653.26,-15630.94,-14199.87,-15698.84,-18502.1,-13197.56,-14297.45,-15397.34,-14199.87,-15698.84,-18502.1,-13197.56,-14297.45,-15397.34,-13833.18,-15498.7,-18613.44,-12719.5,-13941.6,-15163.7,-13466.46,-15298.53,-18724.74,-12241.48,-13585.79,-14930.1,-13099.77,-15098.39,-18836.08,-11763.42,-13229.94,-14696.46,-13099.77,-15098.39,-18836.08,-11763.42,-13229.94,-14696.46,-12733.04,-14898.22,-18947.38,-11285.4,-12874.13,-14462.86,-12366.35,-14698.08,-19058.71,-10807.38,-12518.32,-14229.26,-11999.66,-14497.94,-19170.05,-10329.36,-12162.51,-13995.66
"0.04180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-16750.16,-16916.72,-17228.19,-16583.55,-16705.76,-16827.97,-16000.47,-16333.57,-16956.52,-15669.28,-15913.7,-16158.12,-15250.82,-15750.48,-16684.9,-14751.38,-15118.02,-15484.65,-15250.82,-15750.48,-16684.9,-14751.38,-15118.02,-15484.65,-14502.15,-15168.36,-16414.25,-13835.35,-14324.19,-14813.03,-13752.74,-14585.49,-16142.86,-12919.36,-13530.41,-14141.47,-13003.97,-14003.28,-15872.13,-12004.07,-12737.34,-13470.6,-13003.97,-14003.28,-15872.13,-12004.07,-12737.34,-13470.6,-12254.6,-13420.47,-15600.78,-11088.09,-11943.56,-12799.03,-11505.19,-12837.6,-15329.39,-10172.15,-11149.83,-12127.51,-10755.77,-12254.74,-15058,-9256.21,-10356.1,-11455.99,-10755.77,-12254.74,-15058,-9256.21,-10356.1,-11455.99,-10006.4,-11671.92,-14786.66,-8340.22,-9562.32,-10784.42,-9256.99,-11089.06,-14515.27,-7424.28,-8768.59,-10112.9,-8507.62,-10506.24,-14243.93,-6508.29,-7974.81,-9441.33,-8507.62,-10506.24,-14243.93,-6508.29,-7974.81,-9441.33,-7758.2,-9923.38,-13972.54,-5592.35,-7181.08,-8769.81,-7008.83,-9340.56,-13701.19,-4676.41,-6387.35,-8098.29,-6259.46,-8757.74,-13429.85,-3760.47,-5593.62,-7426.77
"0.05180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-16367.38,-16533.94,-16845.41,-16145.52,-16267.73,-16389.94,-15234.94,-15568.04,-16190.99,-14793.69,-15038.11,-15282.53,-14102.55,-14602.21,-15536.63,-13437.45,-13804.09,-14170.72,-14102.55,-14602.21,-15536.63,-13437.45,-13804.09,-14170.72,-12971.35,-13637.56,-14883.45,-12083.48,-12572.32,-13061.16,-11839.25,-12672,-14229.37,-10729.56,-11340.61,-11951.67,-10707.93,-11707.24,-13576.09,-9376.49,-10109.76,-10843.02,-10707.93,-11707.24,-13576.09,-9376.49,-10109.76,-10843.02,-9575.88,-10741.75,-12922.06,-8022.58,-8878.05,-9733.52,-8443.78,-9776.19,-12267.98,-6668.72,-7646.4,-8624.08,-7311.67,-8810.64,-11613.9,-5314.86,-6414.75,-7514.64,-7311.67,-8810.64,-11613.9,-5314.86,-6414.75,-7514.64,-6179.62,-7845.14,-10959.88,-3960.94,-5183.04,-6405.14,-5047.52,-6879.59,-10305.8,-2607.08,-3951.39,-5295.7,-3915.47,-5914.09,-9651.78,-1253.16,-2719.68,-4186.2,-3915.47,-5914.09,-9651.78,-1253.16,-2719.68,-4186.2,-2783.36,-4948.54,-8997.7,100.7,-1488.03,-3076.76,-1651.31,-3983.04,-8343.67,1454.56,-256.38,-1967.32,-519.26,-3017.54,-7689.65,2808.42,975.27,-857.88
"0.03190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18492.94,-18659.5,-18970.97,-18381.58,-18503.79,-18626,-18126,-18459.1,-19082.05,-17904.87,-18149.29,-18393.71,-17759.09,-18258.75,-19193.17,-17425.31,-17791.95,-18158.58,-17759.09,-18258.75,-19193.17,-17425.31,-17791.95,-18158.58,-17392.95,-18059.16,-19305.05,-16947.22,-17436.06,-17924.9,-17026.23,-17858.98,-19416.35,-16469.16,-17080.21,-17691.27,-16660.01,-17659.32,-19528.17,-15991.65,-16724.92,-17458.18,-16660.01,-17659.32,-19528.17,-15991.65,-16724.92,-17458.18,-16293.32,-17459.19,-19639.5,-15513.6,-16369.07,-17224.54,-15926.6,-17259.01,-19750.8,-15035.58,-16013.26,-16990.94,-15559.87,-17058.84,-19862.1,-14557.56,-15657.45,-16757.34,-15559.87,-17058.84,-19862.1,-14557.56,-15657.45,-16757.34,-15193.18,-16858.7,-19973.44,-14079.5,-15301.6,-16523.7,-14826.46,-16658.53,-20084.74,-13601.48,-14945.79,-16290.1,-14459.77,-16458.39,-20196.08,-13123.42,-14589.94,-16056.46,-14459.77,-16458.39,-20196.08,-13123.42,-14589.94,-16056.46,-14093.04,-16258.22,-20307.38,-12645.4,-14234.13,-15822.86,-13726.35,-16058.08,-20418.71,-12167.38,-13878.32,-15589.26,-13359.66,-15857.94,-20530.05,-11689.36,-13522.51,-15355.66
"0.04190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18110.16,-18276.72,-18588.19,-17943.55,-18065.76,-18187.97,-17360.47,-17693.57,-18316.52,-17029.28,-17273.7,-17518.12,-16610.82,-17110.48,-18044.9,-16111.38,-16478.02,-16844.65,-16610.82,-17110.48,-18044.9,-16111.38,-16478.02,-16844.65,-15862.15,-16528.36,-17774.25,-15195.35,-15684.19,-16173.03,-15112.74,-15945.49,-17502.86,-14279.36,-14890.41,-15501.47,-14363.97,-15363.28,-17232.13,-13364.07,-14097.34,-14830.6,-14363.97,-15363.28,-17232.13,-13364.07,-14097.34,-14830.6,-13614.6,-14780.47,-16960.78,-12448.09,-13303.56,-14159.03,-12865.19,-14197.6,-16689.39,-11532.15,-12509.83,-13487.51,-12115.77,-13614.74,-16418,-10616.21,-11716.1,-12815.99,-12115.77,-13614.74,-16418,-10616.21,-11716.1,-12815.99,-11366.4,-13031.92,-16146.66,-9700.22,-10922.32,-12144.42,-10616.99,-12449.06,-15875.27,-8784.28,-10128.59,-11472.9,-9867.62,-11866.24,-15603.93,-7868.29,-9334.81,-10801.33,-9867.62,-11866.24,-15603.93,-7868.29,-9334.81,-10801.33,-9118.2,-11283.38,-15332.54,-6952.35,-8541.08,-10129.81,-8368.83,-10700.56,-15061.19,-6036.41,-7747.35,-9458.29,-7619.46,-10117.74,-14789.85,-5120.47,-6953.62,-8786.77
"0.05190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-17727.38,-17893.94,-18205.41,-17505.52,-17627.73,-17749.94,-16594.94,-16928.04,-17550.99,-16153.69,-16398.11,-16642.53,-15462.55,-15962.21,-16896.63,-14797.45,-15164.09,-15530.72,-15462.55,-15962.21,-16896.63,-14797.45,-15164.09,-15530.72,-14331.35,-14997.56,-16243.45,-13443.48,-13932.32,-14421.16,-13199.25,-14032,-15589.37,-12089.56,-12700.61,-13311.67,-12067.93,-13067.24,-14936.09,-10736.49,-11469.76,-12203.02,-12067.93,-13067.24,-14936.09,-10736.49,-11469.76,-12203.02,-10935.88,-12101.75,-14282.06,-9382.58,-10238.05,-11093.52,-9803.78,-11136.19,-13627.98,-8028.72,-9006.4,-9984.08,-8671.67,-10170.64,-12973.9,-6674.86,-7774.75,-8874.64,-8671.67,-10170.64,-12973.9,-6674.86,-7774.75,-8874.64,-7539.62,-9205.14,-12319.88,-5320.94,-6543.04,-7765.14,-6407.52,-8239.59,-11665.8,-3967.08,-5311.39,-6655.7,-5275.47,-7274.09,-11011.78,-2613.16,-4079.68,-5546.2,-5275.47,-7274.09,-11011.78,-2613.16,-4079.68,-5546.2,-4143.36,-6308.54,-10357.7,-1259.3,-2848.03,-4436.76,-3011.31,-5343.04,-9703.67,94.56,-1616.38,-3327.32,-1879.26,-4377.54,-9049.65,1448.42,-384.73,-2217.88
"0.03200.0Northern",-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-19852.94,-20019.5,-20330.97,-19741.58,-19863.79,-19986,-19486,-19819.1,-20442.05,-19264.87,-19509.29,-19753.71,-19119.09,-19618.75,-20553.17,-18785.31,-19151.95,-19518.58,-19119.09,-19618.75,-20553.17,-18785.31,-19151.95,-19518.58,-18752.95,-19419.16,-20665.05,-18307.22,-18796.06,-19284.9,-18386.23,-19218.98,-20776.35,-17829.16,-18440.21,-19051.27,-18020.01,-19019.32,-20888.17,-17351.65,-18084.92,-18818.18,-18020.01,-19019.32,-20888.17,-17351.65,-18084.92,-18818.18,-17653.32,-18819.19,-20999.5,-16873.6,-17729.07,-18584.54,-17286.6,-18619.01,-21110.8,-16395.58,-17373.26,-18350.94,-16919.87,-18418.84,-21222.1,-15917.56,-17017.45,-18117.34,-16919.87,-18418.84,-21222.1,-15917.56,-17017.45,-18117.34,-16553.18,-18218.7,-21333.44,-15439.5,-16661.6,-17883.7,-16186.46,-18018.53,-21444.74,-14961.48,-16305.79,-17650.1,-15819.77,-17818.39,-21556.08,-14483.42,-15949.94,-17416.46,-15819.77,-17818.39,-21556.08,-14483.42,-15949.94,-17416.46,-15453.04,-17618.22,-21667.38,-14005.4,-15594.13,-17182.86,-15086.35,-17418.08,-21778.71,-13527.38,-15238.32,-16949.26,-14719.66,-17217.94,-21890.05,-13049.36,-14882.51,-16715.66
