"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.15Fixed4.6","0.15Fixed6.4","0.15Fixed8.2","0.15Tracking4.6","0.15Tracking6.4","0.15Tracking8.2","0.20Fixed4.6","0.20Fixed6.4","0.20Fixed8.2","0.20Tracking4.6","0.20Tracking6.4","0.20Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.35Fixed4.6","0.35Fixed6.4","0.35Fixed8.2","0.35Tracking4.6","0.35Tracking6.4","0.35Tracking8.2","0.40Fixed4.6","0.40Fixed6.4","0.40Fixed8.2","0.40Tracking4.6","0.40Tracking6.4","0.40Tracking8.2","0.45Fixed4.6","0.45Fixed6.4","0.45Fixed8.2","0.45Tracking4.6","0.45Tracking6.4","0.45Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.55Fixed4.6","0.55Fixed6.4","0.55Fixed8.2","0.55Tracking4.6","0.55Tracking6.4","0.55Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.65Fixed4.6","0.65Fixed6.4","0.65Fixed8.2","0.65Tracking4.6","0.65Tracking6.4","0.65Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2","0.90Fixed4.6","0.90Fixed6.4","0.90Fixed8.2","0.90Tracking4.6","0.90Tracking6.4","0.90Tracking8.2","0.95Fixed4.6","0.95Fixed6.4","0.95Fixed8.2","0.95Tracking4.6","0.95Tracking6.4","0.95Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.02170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-19009.59,-19595.17,-20690.28,-19218.5,-19648.18,-20077.85,-21879.24,-23050.4,-25240.62,-22297.94,-23157.29,-24016.65,-24748.92,-26505.65,-29790.98,-25375.82,-26664.85,-27953.88,-24748.92,-26505.65,-29790.98,-25375.82,-26664.85,-27953.88,-27619.01,-29961.32,-34341.76,-28454.5,-30173.21,-31891.92,-30488.78,-33416.68,-38892.22,-31533.19,-33681.58,-35829.97,-33358.83,-36872.31,-43442.96,-34612.19,-37190.26,-39768.33,-33358.83,-36872.31,-43442.96,-34612.19,-37190.26,-39768.33,-36228.63,-40327.68,-47993.44,-37690.89,-40698.64,-43706.38,-39098.4,-43783.03,-52543.9,-40769.61,-44207.04,-47644.46,-41968.17,-47238.38,-57094.36,-43848.33,-47715.43,-51582.53,-41968.17,-47238.38,-57094.36,-43848.33,-47715.43,-51582.53,-44837.96,-50693.75,-61644.84,-46927.03,-51223.81,-55520.59,-47707.73,-54149.1,-66195.3,-50005.75,-54732.21,-59458.66,-50577.53,-57604.47,-70745.78,-53084.45,-58240.58,-63396.72,-50577.53,-57604.47,-70745.78,-53084.45,-58240.58,-63396.72,-53447.3,-61059.82,-75296.24,-56163.17,-61748.98,-67334.79,-56317.09,-64515.2,-79846.72,-59241.88,-65257.38,-71272.87,-59186.88,-67970.57,-84397.2,-62320.6,-68765.77,-75210.94
"0.03170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-18626.81,-19212.39,-20307.5,-18780.47,-19210.15,-19639.82,-21113.71,-22284.87,-24475.09,-21422.35,-22281.7,-23141.06,-23600.65,-25357.38,-28642.71,-24061.89,-25350.92,-26639.95,-23600.65,-25357.38,-28642.71,-24061.89,-25350.92,-26639.95,-26088.21,-28430.52,-32810.96,-26702.63,-28421.34,-30140.05,-28575.29,-31503.19,-36978.73,-29343.39,-31491.78,-33640.17,-31062.79,-34576.27,-41146.92,-31984.61,-34562.68,-37140.75,-31062.79,-34576.27,-41146.92,-31984.61,-34562.68,-37140.75,-33549.91,-37648.96,-45314.72,-34625.38,-37633.13,-40640.87,-36036.99,-40721.62,-49482.49,-37266.18,-40703.61,-44141.03,-38524.07,-43794.28,-53650.26,-39906.98,-43774.08,-47641.18,-38524.07,-43794.28,-53650.26,-39906.98,-43774.08,-47641.18,-41011.18,-46866.97,-57818.06,-42547.75,-46844.53,-51141.31,-43498.26,-49939.63,-61985.83,-45188.55,-49915.01,-54641.46,-45985.38,-53012.32,-66153.63,-47829.32,-52985.45,-58141.59,-45985.38,-53012.32,-66153.63,-47829.32,-52985.45,-58141.59,-48472.46,-56084.98,-70321.4,-50470.12,-56055.93,-61641.74,-50959.57,-59157.68,-74489.2,-53110.91,-59126.41,-65141.9,-53446.68,-62230.37,-78657,-55751.71,-62196.88,-68642.05
"0.04170.0Northern",-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-16140,-18244.03,-18829.61,-19924.72,-18342.44,-18772.12,-19201.79,-20348.18,-21519.34,-23709.56,-20546.76,-21406.11,-22265.47,-22452.38,-24209.11,-27494.44,-22747.96,-24036.99,-25326.02,-22452.38,-24209.11,-27494.44,-22747.96,-24036.99,-25326.02,-24557.41,-26899.72,-31280.16,-24950.76,-26669.47,-28388.18,-26661.8,-29589.7,-35065.24,-27153.59,-29301.98,-31450.37,-28766.75,-32280.23,-38850.88,-29357.03,-31935.1,-34513.17,-28766.75,-32280.23,-38850.88,-29357.03,-31935.1,-34513.17,-30871.19,-34970.24,-42636,-31559.87,-34567.62,-37575.36,-32975.58,-37660.21,-46421.08,-33762.75,-37200.18,-40637.6,-35079.97,-40350.18,-50206.16,-35965.63,-39832.73,-43699.83,-35079.97,-40350.18,-50206.16,-35965.63,-39832.73,-43699.83,-37184.4,-43040.19,-53991.28,-38168.47,-42465.25,-46762.03,-39288.79,-45730.16,-57776.36,-40371.35,-45097.81,-49824.26,-41393.23,-48420.17,-61561.48,-42574.19,-47730.32,-52886.46,-41393.23,-48420.17,-61561.48,-42574.19,-47730.32,-52886.46,-43497.62,-51110.14,-65346.56,-44777.07,-50362.88,-55948.69,-45602.05,-53800.16,-69131.68,-46979.94,-52995.44,-59010.93,-47706.48,-56490.17,-72916.8,-49182.82,-55627.99,-62073.16
"0.02180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-20369.59,-20955.17,-22050.28,-20578.5,-21008.18,-21437.85,-23239.24,-24410.4,-26600.62,-23657.94,-24517.29,-25376.65,-26108.92,-27865.65,-31150.98,-26735.82,-28024.85,-29313.88,-26108.92,-27865.65,-31150.98,-26735.82,-28024.85,-29313.88,-28979.01,-31321.32,-35701.76,-29814.5,-31533.21,-33251.92,-31848.78,-34776.68,-40252.22,-32893.19,-35041.58,-37189.97,-34718.83,-38232.31,-44802.96,-35972.19,-38550.26,-41128.33,-34718.83,-38232.31,-44802.96,-35972.19,-38550.26,-41128.33,-37588.63,-41687.68,-49353.44,-39050.89,-42058.64,-45066.38,-40458.4,-45143.03,-53903.9,-42129.61,-45567.04,-49004.46,-43328.17,-48598.38,-58454.36,-45208.33,-49075.43,-52942.53,-43328.17,-48598.38,-58454.36,-45208.33,-49075.43,-52942.53,-46197.96,-52053.75,-63004.84,-48287.03,-52583.81,-56880.59,-49067.73,-55509.1,-67555.3,-51365.75,-56092.21,-60818.66,-51937.53,-58964.47,-72105.78,-54444.45,-59600.58,-64756.72,-51937.53,-58964.47,-72105.78,-54444.45,-59600.58,-64756.72,-54807.3,-62419.82,-76656.24,-57523.17,-63108.98,-68694.79,-57677.09,-65875.2,-81206.72,-60601.88,-66617.38,-72632.87,-60546.88,-69330.57,-85757.2,-63680.6,-70125.77,-76570.94
"0.03180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-19986.81,-20572.39,-21667.5,-20140.47,-20570.15,-20999.82,-22473.71,-23644.87,-25835.09,-22782.35,-23641.7,-24501.06,-24960.65,-26717.38,-30002.71,-25421.89,-26710.92,-27999.95,-24960.65,-26717.38,-30002.71,-25421.89,-26710.92,-27999.95,-27448.21,-29790.52,-34170.96,-28062.63,-29781.34,-31500.05,-29935.29,-32863.19,-38338.73,-30703.39,-32851.78,-35000.17,-32422.79,-35936.27,-42506.92,-33344.61,-35922.68,-38500.75,-32422.79,-35936.27,-42506.92,-33344.61,-35922.68,-38500.75,-34909.91,-39008.96,-46674.72,-35985.38,-38993.13,-42000.87,-37396.99,-42081.62,-50842.49,-38626.18,-42063.61,-45501.03,-39884.07,-45154.28,-55010.26,-41266.98,-45134.08,-49001.18,-39884.07,-45154.28,-55010.26,-41266.98,-45134.08,-49001.18,-42371.18,-48226.97,-59178.06,-43907.75,-48204.53,-52501.31,-44858.26,-51299.63,-63345.83,-46548.55,-51275.01,-56001.46,-47345.38,-54372.32,-67513.63,-49189.32,-54345.45,-59501.59,-47345.38,-54372.32,-67513.63,-49189.32,-54345.45,-59501.59,-49832.46,-57444.98,-71681.4,-51830.12,-57415.93,-63001.74,-52319.57,-60517.68,-75849.2,-54470.91,-60486.41,-66501.9,-54806.68,-63590.37,-80017,-57111.71,-63556.88,-70002.05
"0.04180.0Northern",-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-17500,-19604.03,-20189.61,-21284.72,-19702.44,-20132.12,-20561.79,-21708.18,-22879.34,-25069.56,-21906.76,-22766.11,-23625.47,-23812.38,-25569.11,-28854.44,-24107.96,-25396.99,-26686.02,-23812.38,-25569.11,-28854.44,-24107.96,-25396.99,-26686.02,-25917.41,-28259.72,-32640.16,-26310.76,-28029.47,-29748.18,-28021.8,-30949.7,-36425.24,-28513.59,-30661.98,-32810.37,-30126.75,-33640.23,-40210.88,-30717.03,-33295.1,-35873.17,-30126.75,-33640.23,-40210.88,-30717.03,-33295.1,-35873.17,-32231.19,-36330.24,-43996,-32919.87,-35927.62,-38935.36,-34335.58,-39020.21,-47781.08,-35122.75,-38560.18,-41997.6,-36439.97,-41710.18,-51566.16,-37325.63,-41192.73,-45059.83,-36439.97,-41710.18,-51566.16,-37325.63,-41192.73,-45059.83,-38544.4,-44400.19,-55351.28,-39528.47,-43825.25,-48122.03,-40648.79,-47090.16,-59136.36,-41731.35,-46457.81,-51184.26,-42753.23,-49780.17,-62921.48,-43934.19,-49090.32,-54246.46,-42753.23,-49780.17,-62921.48,-43934.19,-49090.32,-54246.46,-44857.62,-52470.14,-66706.56,-46137.07,-51722.88,-57308.69,-46962.05,-55160.16,-70491.68,-48339.94,-54355.44,-60370.93,-49066.48,-57850.17,-74276.8,-50542.82,-56987.99,-63433.16
"0.02190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-21729.59,-22315.17,-23410.28,-21938.5,-22368.18,-22797.85,-24599.24,-25770.4,-27960.62,-25017.94,-25877.29,-26736.65,-27468.92,-29225.65,-32510.98,-28095.82,-29384.85,-30673.88,-27468.92,-29225.65,-32510.98,-28095.82,-29384.85,-30673.88,-30339.01,-32681.32,-37061.76,-31174.5,-32893.21,-34611.92,-33208.78,-36136.68,-41612.22,-34253.19,-36401.58,-38549.97,-36078.83,-39592.31,-46162.96,-37332.19,-39910.26,-42488.33,-36078.83,-39592.31,-46162.96,-37332.19,-39910.26,-42488.33,-38948.63,-43047.68,-50713.44,-40410.89,-43418.64,-46426.38,-41818.4,-46503.03,-55263.9,-43489.61,-46927.04,-50364.46,-44688.17,-49958.38,-59814.36,-46568.33,-50435.43,-54302.53,-44688.17,-49958.38,-59814.36,-46568.33,-50435.43,-54302.53,-47557.96,-53413.75,-64364.84,-49647.03,-53943.81,-58240.59,-50427.73,-56869.1,-68915.3,-52725.75,-57452.21,-62178.66,-53297.53,-60324.47,-73465.78,-55804.45,-60960.58,-66116.72,-53297.53,-60324.47,-73465.78,-55804.45,-60960.58,-66116.72,-56167.3,-63779.82,-78016.24,-58883.17,-64468.98,-70054.79,-59037.09,-67235.2,-82566.72,-61961.88,-67977.38,-73992.87,-61906.88,-70690.57,-87117.2,-65040.6,-71485.77,-77930.94
"0.03190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-21346.81,-21932.39,-23027.5,-21500.47,-21930.15,-22359.82,-23833.71,-25004.87,-27195.09,-24142.35,-25001.7,-25861.06,-26320.65,-28077.38,-31362.71,-26781.89,-28070.92,-29359.95,-26320.65,-28077.38,-31362.71,-26781.89,-28070.92,-29359.95,-28808.21,-31150.52,-35530.96,-29422.63,-31141.34,-32860.05,-31295.29,-34223.19,-39698.73,-32063.39,-34211.78,-36360.17,-33782.79,-37296.27,-43866.92,-34704.61,-37282.68,-39860.75,-33782.79,-37296.27,-43866.92,-34704.61,-37282.68,-39860.75,-36269.91,-40368.96,-48034.72,-37345.38,-40353.13,-43360.87,-38756.99,-43441.62,-52202.49,-39986.18,-43423.61,-46861.03,-41244.07,-46514.28,-56370.26,-42626.98,-46494.08,-50361.18,-41244.07,-46514.28,-56370.26,-42626.98,-46494.08,-50361.18,-43731.18,-49586.97,-60538.06,-45267.75,-49564.53,-53861.31,-46218.26,-52659.63,-64705.83,-47908.55,-52635.01,-57361.46,-48705.38,-55732.32,-68873.63,-50549.32,-55705.45,-60861.59,-48705.38,-55732.32,-68873.63,-50549.32,-55705.45,-60861.59,-51192.46,-58804.98,-73041.4,-53190.12,-58775.93,-64361.74,-53679.57,-61877.68,-77209.2,-55830.91,-61846.41,-67861.9,-56166.68,-64950.37,-81377,-58471.71,-64916.88,-71362.05
"0.04190.0Northern",-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-18860,-20964.03,-21549.61,-22644.72,-21062.44,-21492.12,-21921.79,-23068.18,-24239.34,-26429.56,-23266.76,-24126.11,-24985.47,-25172.38,-26929.11,-30214.44,-25467.96,-26756.99,-28046.02,-25172.38,-26929.11,-30214.44,-25467.96,-26756.99,-28046.02,-27277.41,-29619.72,-34000.16,-27670.76,-29389.47,-31108.18,-29381.8,-32309.7,-37785.24,-29873.59,-32021.98,-34170.37,-31486.75,-35000.23,-41570.88,-32077.03,-34655.1,-37233.17,-31486.75,-35000.23,-41570.88,-32077.03,-34655.1,-37233.17,-33591.19,-37690.24,-45356,-34279.87,-37287.62,-40295.36,-35695.58,-40380.21,-49141.08,-36482.75,-39920.18,-43357.6,-37799.97,-43070.18,-52926.16,-38685.63,-42552.73,-46419.83,-37799.97,-43070.18,-52926.16,-38685.63,-42552.73,-46419.83,-39904.4,-45760.19,-56711.28,-40888.47,-45185.25,-49482.03,-42008.79,-48450.16,-60496.36,-43091.35,-47817.81,-52544.26,-44113.23,-51140.17,-64281.48,-45294.19,-50450.32,-55606.46,-44113.23,-51140.17,-64281.48,-45294.19,-50450.32,-55606.46,-46217.62,-53830.14,-68066.56,-47497.07,-53082.88,-58668.69,-48322.05,-56520.16,-71851.68,-49699.94,-55715.44,-61730.93,-50426.48,-59210.17,-75636.8,-51902.82,-58347.99,-64793.16
"0.02200.0Northern",-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-20220,-23089.59,-23675.17,-24770.28,-23298.5,-23728.18,-24157.85,-25959.24,-27130.4,-29320.62,-26377.94,-27237.29,-28096.65,-28828.92,-30585.65,-33870.98,-29455.82,-30744.85,-32033.88,-28828.92,-30585.65,-33870.98,-29455.82,-30744.85,-32033.88,-31699.01,-34041.32,-38421.76,-32534.5,-34253.21,-35971.92,-34568.78,-37496.68,-42972.22,-35613.19,-37761.58,-39909.97,-37438.83,-40952.31,-47522.96,-38692.19,-41270.26,-43848.33,-37438.83,-40952.31,-47522.96,-38692.19,-41270.26,-43848.33,-40308.63,-44407.68,-52073.44,-41770.89,-44778.64,-47786.38,-43178.4,-47863.03,-56623.9,-44849.61,-48287.04,-51724.46,-46048.17,-51318.38,-61174.36,-47928.33,-51795.43,-55662.53,-46048.17,-51318.38,-61174.36,-47928.33,-51795.43,-55662.53,-48917.96,-54773.75,-65724.84,-51007.03,-55303.81,-59600.59,-51787.73,-58229.1,-70275.3,-54085.75,-58812.21,-63538.66,-54657.53,-61684.47,-74825.78,-57164.45,-62320.58,-67476.72,-54657.53,-61684.47,-74825.78,-57164.45,-62320.58,-67476.72,-57527.3,-65139.82,-79376.24,-60243.17,-65828.98,-71414.79,-60397.09,-68595.2,-83926.72,-63321.88,-69337.38,-75352.87,-63266.88,-72050.57,-88477.2,-66400.6,-72845.77,-79290.94
