"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sbav_profit","sbavp_wocp"
"1","Black Belt","Fixed",0.1,59,0.01,3,4.6,-4047.91497,1.6,4920,-7277.33715136772,231.707818632281
"2","Black Belt","Fixed",0.1,59,0.01,4,4.6,-896.624969999997,1.4,4305,-4126.04715136772,307.997818632282
"3","Black Belt","Fixed",0.1,59,0.01,5,4.6,2216.52003,1.3,3997.5,-1012.90215136772,346.142818632279
"4","Black Belt","Fixed",0.1,59,0.01,6,4.6,6214.02003,1.3,3997.5,2984.59784863228,1268.64281863228
"5","Black Belt","Fixed",0.1,59,0.01,7,4.6,8404.66503,1.2,3690,5175.24284863228,384.287818632283
"6","Black Belt","Fixed",0.1,59,0.01,8,4.6,12094.66503,1.2,3690,8865.24284863228,999.287818632283
"7","Black Belt","Fixed",0.1,59,0.01,9,4.6,15784.66503,1.2,3690,12555.2428486323,1614.28781863228
"8","Black Belt","Fixed",0.1,59,0.01,3,6.4,-3471.05997,1.7,5227.5,-7286.06105924494,222.983910755054
"9","Black Belt","Fixed",0.1,59,0.01,4,6.4,-12.2699699999976,1.5,4612.5,-3827.27105924494,606.773910755055
"10","Black Belt","Fixed",0.1,59,0.01,5,6.4,3408.37503,1.4,4305,-406.626059244944,952.418910755055
"11","Black Belt","Fixed",0.1,59,0.01,6,6.4,6214.02003,1.3,3997.5,2399.01894075505,683.063910755052
"12","Black Belt","Fixed",0.1,59,0.01,7,6.4,10211.52003,1.3,3997.5,6396.51894075505,1605.56391075505
"13","Black Belt","Fixed",0.1,59,0.01,8,6.4,12094.66503,1.2,3690,8279.66394075506,413.708910755056
"14","Black Belt","Fixed",0.1,59,0.01,9,6.4,15784.66503,1.2,3690,11969.6639407551,1028.70891075506
"15","Black Belt","Fixed",0.1,59,0.01,3,8.2,-2317.34997,1.9,5842.5,-7227.45966618417,281.585303815828
"16","Black Belt","Fixed",0.1,59,0.01,4,8.2,872.085030000002,1.6,4920,-4038.02466618417,396.020303815825
"17","Black Belt","Fixed",0.1,59,0.01,5,8.2,4600.23003,1.5,4612.5,-309.879666184173,1049.16530381583
"18","Black Belt","Fixed",0.1,59,0.01,6,8.2,7713.37503,1.4,4305,2803.26533381583,1087.31030381583
"19","Black Belt","Fixed",0.1,59,0.01,7,8.2,10211.52003,1.3,3997.5,5301.41033381582,510.455303815823
