"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sqav_profit","sqavp_wosp"
"1","Black Belt","Fixed",0,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"2","Black Belt","Fixed",0,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"3","Black Belt","Fixed",0,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"4","Black Belt","Fixed",0,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"5","Black Belt","Fixed",0,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"6","Black Belt","Fixed",0,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"7","Black Belt","Fixed",0,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"8","Black Belt","Fixed",0,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"9","Black Belt","Fixed",0,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"10","Black Belt","Fixed",0,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"11","Black Belt","Fixed",0,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"12","Black Belt","Fixed",0,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"13","Black Belt","Fixed",0,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"14","Black Belt","Fixed",0,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"15","Black Belt","Fixed",0,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"16","Black Belt","Fixed",0,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"17","Black Belt","Fixed",0,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"18","Black Belt","Fixed",0,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"19","Black Belt","Fixed",0,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"20","Black Belt","Fixed",0,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"21","Black Belt","Fixed",0,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"22","Black Belt","Tracking",0,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"23","Black Belt","Tracking",0,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"24","Black Belt","Tracking",0,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"25","Black Belt","Tracking",0,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"26","Black Belt","Tracking",0,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"27","Black Belt","Tracking",0,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"28","Black Belt","Tracking",0,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"29","Black Belt","Tracking",0,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"30","Black Belt","Tracking",0,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"31","Black Belt","Tracking",0,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"32","Black Belt","Tracking",0,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"33","Black Belt","Tracking",0,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"34","Black Belt","Tracking",0,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"35","Black Belt","Tracking",0,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"36","Black Belt","Tracking",0,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"37","Black Belt","Tracking",0,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"38","Black Belt","Tracking",0,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"39","Black Belt","Tracking",0,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"40","Black Belt","Tracking",0,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"41","Black Belt","Tracking",0,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"42","Black Belt","Tracking",0,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"43","Central","Fixed",0,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"44","Central","Fixed",0,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"45","Central","Fixed",0,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"46","Central","Fixed",0,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"47","Central","Fixed",0,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"48","Central","Fixed",0,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"49","Central","Fixed",0,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"50","Central","Fixed",0,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"51","Central","Fixed",0,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"52","Central","Fixed",0,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"53","Central","Fixed",0,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"54","Central","Fixed",0,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"55","Central","Fixed",0,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"56","Central","Fixed",0,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"57","Central","Fixed",0,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"58","Central","Fixed",0,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"59","Central","Fixed",0,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"60","Central","Fixed",0,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"61","Central","Fixed",0,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"62","Central","Fixed",0,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"63","Central","Fixed",0,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"64","Central","Tracking",0,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"65","Central","Tracking",0,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"66","Central","Tracking",0,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"67","Central","Tracking",0,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"68","Central","Tracking",0,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"69","Central","Tracking",0,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"70","Central","Tracking",0,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"71","Central","Tracking",0,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"72","Central","Tracking",0,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"73","Central","Tracking",0,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"74","Central","Tracking",0,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"75","Central","Tracking",0,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"76","Central","Tracking",0,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"77","Central","Tracking",0,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"78","Central","Tracking",0,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"79","Central","Tracking",0,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"80","Central","Tracking",0,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"81","Central","Tracking",0,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"82","Central","Tracking",0,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"83","Central","Tracking",0,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"84","Central","Tracking",0,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"85","Northern","Fixed",0,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"86","Northern","Fixed",0,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"87","Northern","Fixed",0,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"88","Northern","Fixed",0,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"89","Northern","Fixed",0,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"90","Northern","Fixed",0,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"91","Northern","Fixed",0,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"92","Northern","Fixed",0,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"93","Northern","Fixed",0,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"94","Northern","Fixed",0,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"95","Northern","Fixed",0,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"96","Northern","Fixed",0,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"97","Northern","Fixed",0,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"98","Northern","Fixed",0,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"99","Northern","Fixed",0,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"100","Northern","Fixed",0,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"101","Northern","Fixed",0,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"102","Northern","Fixed",0,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"103","Northern","Fixed",0,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"104","Northern","Fixed",0,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"105","Northern","Fixed",0,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"106","Northern","Tracking",0,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"107","Northern","Tracking",0,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"108","Northern","Tracking",0,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"109","Northern","Tracking",0,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"110","Northern","Tracking",0,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"111","Northern","Tracking",0,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"112","Northern","Tracking",0,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"113","Northern","Tracking",0,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"114","Northern","Tracking",0,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"115","Northern","Tracking",0,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"116","Northern","Tracking",0,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"117","Northern","Tracking",0,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"118","Northern","Tracking",0,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"119","Northern","Tracking",0,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"120","Northern","Tracking",0,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"121","Northern","Tracking",0,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"122","Northern","Tracking",0,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"123","Northern","Tracking",0,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"124","Northern","Tracking",0,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"125","Northern","Tracking",0,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"126","Northern","Tracking",0,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"127","Southern","Fixed",0,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"128","Southern","Fixed",0,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"129","Southern","Fixed",0,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"130","Southern","Fixed",0,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"131","Southern","Fixed",0,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"132","Southern","Fixed",0,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"133","Southern","Fixed",0,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"134","Southern","Fixed",0,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"135","Southern","Fixed",0,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"136","Southern","Fixed",0,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"137","Southern","Fixed",0,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"138","Southern","Fixed",0,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"139","Southern","Fixed",0,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"140","Southern","Fixed",0,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"141","Southern","Fixed",0,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"142","Southern","Fixed",0,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"143","Southern","Fixed",0,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"144","Southern","Fixed",0,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"145","Southern","Fixed",0,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"146","Southern","Fixed",0,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"147","Southern","Fixed",0,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"148","Southern","Tracking",0,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
