"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sqav_profit","sqavp_wocp"
"1","Black Belt","Fixed",0.1,59,0.01,11,4.6,6800.36702,1.5,1635,3570.94483863228,279.32781863228
"2","Black Belt","Fixed",0.1,59,0.01,12,4.6,7624.61702,1.4,1526,4395.19483863228,13.5778186322805
"3","Black Belt","Fixed",0.1,59,0.01,13,4.6,9150.61702,1.4,1526,5921.19483863228,449.57781863228
"4","Black Belt","Fixed",0.1,59,0.01,14,4.6,10676.61702,1.4,1526,7447.19483863228,885.57781863228
"5","Black Belt","Fixed",0.1,59,0.01,15,4.6,11064.86702,1.3,1417,7835.44483863228,183.827818632282
"6","Black Belt","Fixed",0.1,59,0.01,16,4.6,12481.86702,1.3,1417,9252.44483863228,510.827818632282
"7","Black Belt","Fixed",0.1,59,0.01,17,4.6,13898.86702,1.3,1417,10669.4448386323,837.827818632282
"8","Black Belt","Fixed",0.1,59,0.01,11,6.4,7502.11702,1.6,1744,3687.11593075505,395.498910755053
"9","Black Belt","Fixed",0.1,59,0.01,12,6.4,8435.36702,1.5,1635,4620.36593075505,238.748910755054
"10","Black Belt","Fixed",0.1,59,0.01,13,6.4,10070.36702,1.5,1635,6255.36593075505,783.748910755054
"11","Black Belt","Fixed",0.1,59,0.01,14,6.4,10676.61702,1.4,1526,6861.61593075505,299.998910755054
"12","Black Belt","Fixed",0.1,59,0.01,15,6.4,12202.61702,1.4,1526,8387.61593075505,735.998910755054
"13","Black Belt","Fixed",0.1,59,0.01,16,6.4,13728.61702,1.4,1526,9913.61593075505,1171.99891075505
"14","Black Belt","Fixed",0.1,59,0.01,17,6.4,13898.86702,1.3,1417,10083.8659307551,252.248910755055
"15","Black Belt","Fixed",0.1,59,0.01,11,8.2,8203.86702,1.7,1853,3293.75732381582,2.14030381582234
"16","Black Belt","Fixed",0.1,59,0.01,12,8.2,10056.86702,1.7,1853,5146.75732381582,765.140303815822
"17","Black Belt","Fixed",0.1,59,0.01,13,8.2,10990.11702,1.6,1744,6080.00732381582,608.390303815824
"18","Black Belt","Fixed",0.1,59,0.01,14,8.2,11705.36702,1.5,1635,6795.25732381582,233.640303815824
"19","Black Belt","Fixed",0.1,59,0.01,15,8.2,13340.36702,1.5,1635,8430.25732381582,778.640303815824
"20","Black Belt","Fixed",0.1,59,0.01,16,8.2,13728.61702,1.4,1526,8818.50732381582,76.8903038158242
"21","Black Belt","Fixed",0.1,59,0.01,17,8.2,15254.61702,1.4,1526,10344.5073238158,512.890303815824
"22","Black Belt","Tracking",0.1,59,0.01,11,4.6,6800.36702,1.5,1635,3314.85816160834,23.2411416083387
"23","Black Belt","Tracking",0.1,59,0.01,12,4.6,8435.36702,1.5,1635,4949.85816160834,568.241141608339
"24","Black Belt","Tracking",0.1,59,0.01,13,4.6,9150.61702,1.4,1526,5665.10816160834,193.491141608339
"25","Black Belt","Tracking",0.1,59,0.01,14,4.6,10676.61702,1.4,1526,7191.10816160834,629.491141608339
"26","Black Belt","Tracking",0.1,59,0.01,15,4.6,12202.61702,1.4,1526,8717.10816160834,1065.49114160834
"27","Black Belt","Tracking",0.1,59,0.01,16,4.6,12481.86702,1.3,1417,8996.35816160834,254.74114160834
"28","Black Belt","Tracking",0.1,59,0.01,17,4.6,13898.86702,1.3,1417,10413.3581616083,581.74114160834
