"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","tav_profit","tavp_wocp","tavp_wosp"
"1","Black Belt","Fixed",0,0,0.01,17,4.6,7153.38264,1.1,1496,6153.38264,614.000000000004,7153.38264
"2","Black Belt","Fixed",0,0,0.01,18,4.6,8649.38264,1.1,1496,7649.38264,750.000000000004,8649.38264
"3","Black Belt","Fixed",0,0,0.01,19,4.6,10145.38264,1.1,1496,9145.38264,886.000000000004,10145.38264
"4","Black Belt","Fixed",0,0,0.01,20,4.6,11641.38264,1.1,1496,10641.38264,1022,11641.38264
"5","Black Belt","Fixed",0,0,0.01,21,4.6,13137.38264,1.1,1496,12137.38264,1158,13137.38264
"6","Black Belt","Fixed",0,0,0.01,22,4.6,14633.38264,1.1,1496,13633.38264,1294.00000000001,14633.38264
"7","Black Belt","Fixed",0,0,0.01,23,4.6,16129.38264,1.1,1496,15129.38264,1430.00000000001,16129.38264
"8","Black Belt","Fixed",0,0,0.01,17,6.4,7153.38264,1.1,1496,6153.38264,614.000000000004,7153.38264
"9","Black Belt","Fixed",0,0,0.01,18,6.4,8649.38264,1.1,1496,7649.38264,750.000000000004,8649.38264
"10","Black Belt","Fixed",0,0,0.01,19,6.4,10145.38264,1.1,1496,9145.38264,886.000000000004,10145.38264
"11","Black Belt","Fixed",0,0,0.01,20,6.4,11641.38264,1.1,1496,10641.38264,1022,11641.38264
"12","Black Belt","Fixed",0,0,0.01,21,6.4,13137.38264,1.1,1496,12137.38264,1158,13137.38264
"13","Black Belt","Fixed",0,0,0.01,22,6.4,14633.38264,1.1,1496,13633.38264,1294.00000000001,14633.38264
"14","Black Belt","Fixed",0,0,0.01,23,6.4,16129.38264,1.1,1496,15129.38264,1430.00000000001,16129.38264
"15","Black Belt","Fixed",0,0,0.01,17,8.2,7153.38264,1.1,1496,6153.38264,614.000000000004,7153.38264
"16","Black Belt","Fixed",0,0,0.01,18,8.2,8649.38264,1.1,1496,7649.38264,750.000000000004,8649.38264
"17","Black Belt","Fixed",0,0,0.01,19,8.2,10145.38264,1.1,1496,9145.38264,886.000000000004,10145.38264
"18","Black Belt","Fixed",0,0,0.01,20,8.2,11641.38264,1.1,1496,10641.38264,1022,11641.38264
"19","Black Belt","Fixed",0,0,0.01,21,8.2,13137.38264,1.1,1496,12137.38264,1158,13137.38264
"20","Black Belt","Fixed",0,0,0.01,22,8.2,14633.38264,1.1,1496,13633.38264,1294.00000000001,14633.38264
"21","Black Belt","Fixed",0,0,0.01,23,8.2,16129.38264,1.1,1496,15129.38264,1430.00000000001,16129.38264
"22","Black Belt","Tracking",0,0,0.01,17,4.6,7153.38264,1.1,1496,6153.38264,614.000000000004,7153.38264
"23","Black Belt","Tracking",0,0,0.01,18,4.6,8649.38264,1.1,1496,7649.38264,750.000000000004,8649.38264
"24","Black Belt","Tracking",0,0,0.01,19,4.6,10145.38264,1.1,1496,9145.38264,886.000000000004,10145.38264
"25","Black Belt","Tracking",0,0,0.01,20,4.6,11641.38264,1.1,1496,10641.38264,1022,11641.38264
"26","Black Belt","Tracking",0,0,0.01,21,4.6,13137.38264,1.1,1496,12137.38264,1158,13137.38264
"27","Black Belt","Tracking",0,0,0.01,22,4.6,14633.38264,1.1,1496,13633.38264,1294.00000000001,14633.38264
"28","Black Belt","Tracking",0,0,0.01,23,4.6,16129.38264,1.1,1496,15129.38264,1430.00000000001,16129.38264
"29","Black Belt","Tracking",0,0,0.01,17,6.4,7153.38264,1.1,1496,6153.38264,614.000000000004,7153.38264
"30","Black Belt","Tracking",0,0,0.01,18,6.4,8649.38264,1.1,1496,7649.38264,750.000000000004,8649.38264
"31","Black Belt","Tracking",0,0,0.01,19,6.4,10145.38264,1.1,1496,9145.38264,886.000000000004,10145.38264
"32","Black Belt","Tracking",0,0,0.01,20,6.4,11641.38264,1.1,1496,10641.38264,1022,11641.38264
"33","Black Belt","Tracking",0,0,0.01,21,6.4,13137.38264,1.1,1496,12137.38264,1158,13137.38264
