"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.0230.1Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-10413.78,-10415.32,-10418.21,-10083.3,-10084.44,-10085.57,-7365.65,-7369.26,-7375.99,-6594.04,-6596.68,-6599.32,-4316.93,-4322.59,-4333.17,-3104.56,-3108.71,-3112.86,-1268.24,-1275.96,-1290.39,384.93,379.26,373.6
"0.0330.1Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-9265.51,-9267.05,-9269.94,-8769.37,-8770.51,-8771.64,-4686.93,-4690.54,-4697.27,-3528.53,-3531.17,-3533.81,-107.46,-113.12,-123.7,1712.64,1708.49,1704.34,4471.96,4464.24,4449.81,6953.82,6948.15,6942.49
"0.0430.1Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-8117.24,-8118.78,-8121.67,-7455.44,-7456.58,-7457.71,-2008.21,-2011.82,-2018.55,-463.02,-465.66,-468.3,4102.01,4096.35,4085.77,6529.84,6525.69,6521.54,10212.16,10204.44,10190.01,13522.71,13517.04,13511.38
"0.0260.1Northern",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-9491.28,-9492.82,-9495.71,-9160.8,-9161.94,-9163.07,-6443.15,-6446.76,-6453.49,-5671.54,-5674.18,-5676.82,-3394.43,-3400.09,-3410.67,-2182.06,-2186.21,-2190.36,-345.74,-353.46,-367.89,1307.43,1301.76,1296.1
"0.0360.1Northern",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-8343.01,-8344.55,-8347.44,-7846.87,-7848.01,-7849.14,-3764.43,-3768.04,-3774.77,-2606.03,-2608.67,-2611.31,815.04,809.38,798.8,2635.14,2630.99,2626.84,5394.46,5386.74,5372.31,7876.32,7870.65,7864.99
"0.0460.1Northern",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-7194.74,-7196.28,-7199.17,-6532.94,-6534.08,-6535.21,-1085.71,-1089.32,-1096.05,459.48,456.84,454.2,5024.51,5018.85,5008.27,7452.34,7448.19,7444.04,11134.66,11126.94,11112.51,14445.21,14439.54,14433.88
"0.0290.1Northern",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-8568.78,-8570.32,-8573.21,-8238.3,-8239.44,-8240.57,-5520.65,-5524.26,-5530.99,-4749.04,-4751.68,-4754.32,-2471.93,-2477.59,-2488.17,-1259.56,-1263.71,-1267.86,576.76,569.04,554.61,2229.93,2224.26,2218.6
"0.0390.1Northern",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-7420.51,-7422.05,-7424.94,-6924.37,-6925.51,-6926.64,-2841.93,-2845.54,-2852.27,-1683.53,-1686.17,-1688.81,1737.54,1731.88,1721.3,3557.64,3553.49,3549.34,6316.96,6309.24,6294.81,8798.82,8793.15,8787.49
"0.0490.1Northern",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-6272.24,-6273.78,-6276.67,-5610.44,-5611.58,-5612.71,-163.21,-166.82,-173.55,1381.98,1379.34,1376.7,5947.01,5941.35,5930.77,8374.84,8370.69,8366.54,12057.16,12049.44,12035.01,15367.71,15362.04,15356.38
"0.0230.3Northern",-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-9260.07,-9261.61,-9264.5,-8929.59,-8930.73,-8931.86,-6211.94,-6215.55,-6222.28,-5440.33,-5442.97,-5445.61,-3163.22,-3168.88,-3179.46,-1950.85,-1955,-1959.15,-114.53,-122.25,-136.68,1538.64,1532.97,1527.31
"0.0330.3Northern",-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-8111.8,-8113.34,-8116.23,-7615.66,-7616.8,-7617.93,-3533.22,-3536.83,-3543.56,-2374.82,-2377.46,-2380.1,1046.25,1040.59,1030.01,2866.35,2862.2,2858.05,5625.67,5617.95,5603.52,8107.53,8101.86,8096.2
"0.0430.3Northern",-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-6963.53,-6965.07,-6967.96,-6301.73,-6302.87,-6304,-854.5,-858.11,-864.84,690.69,688.05,685.41,5255.72,5250.06,5239.48,7683.55,7679.4,7675.25,11365.87,11358.15,11343.72,14676.42,14670.75,14665.09
"0.0260.3Northern",-8779.53,-8779.53,-8779.53,-8779.53,-8779.53,-8779.53,-6492.57,-6494.11,-6497,-6162.09,-6163.23,-6164.36,-3444.44,-3448.05,-3454.78,-2672.83,-2675.47,-2678.11,-395.72,-401.38,-411.96,816.65,812.5,808.35,2652.97,2645.25,2630.82,4306.14,4300.47,4294.81
