"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.0230.1Northern",-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-2904.74,-2906.28,-2909.17,-2574.26,-2575.39,-2576.52,143.39,139.79,133.05,915.01,912.36,909.72,3192.12,3186.46,3175.87,4404.49,4400.34,4396.18,6240.8,6233.08,6218.65,7893.97,7888.31,7882.65
"0.0330.1Northern",-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-1756.47,-1758.01,-1760.9,-1260.33,-1261.46,-1262.59,2822.11,2818.51,2811.77,3980.52,3977.87,3975.23,7401.59,7395.93,7385.34,9221.69,9217.54,9213.38,11981,11973.28,11958.85,14462.86,14457.2,14451.54
"0.0430.1Northern",-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-5191.7,-608.2,-609.74,-612.63,53.6,52.47,51.34,5500.83,5497.23,5490.49,7046.03,7043.38,7040.74,11611.06,11605.4,11594.81,14038.89,14034.74,14030.58,17721.2,17713.48,17699.05,21031.75,21026.09,21020.43
"0.0260.1Northern",-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-11207.24,-11208.78,-11211.67,-10876.76,-10877.89,-10879.02,-8159.11,-8162.71,-8169.45,-7387.49,-7390.14,-7392.78,-5110.38,-5116.04,-5126.63,-3898.01,-3902.16,-3906.32,-2061.7,-2069.42,-2083.85,-408.53,-414.19,-419.85
"0.0360.1Northern",-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-10058.97,-10060.51,-10063.4,-9562.83,-9563.96,-9565.09,-5480.39,-5483.99,-5490.73,-4321.98,-4324.63,-4327.27,-900.91,-906.57,-917.16,919.19,915.04,910.88,3678.5,3670.78,3656.35,6160.36,6154.7,6149.04
"0.0460.1Northern",-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-13494.19,-8910.7,-8912.24,-8915.13,-8248.9,-8250.03,-8251.16,-2801.67,-2805.27,-2812.01,-1256.47,-1259.12,-1261.76,3308.56,3302.9,3292.31,5736.39,5732.24,5728.08,9418.7,9410.98,9396.55,12729.25,12723.59,12717.93
"0.0290.1Northern",-21796.7,-21796.7,-21796.7,-21796.7,-21796.7,-21796.7,-19509.74,-19511.28,-19514.17,-19179.26,-19180.39,-19181.52,-16461.61,-16465.21,-16471.95,-15689.99,-15692.64,-15695.28,-13412.88,-13418.54,-13429.13,-12200.51,-12204.66,-12208.82,-10364.2,-10371.92,-10386.35,-8711.03,-8716.69,-8722.35
"0.0390.1Northern",-21796.7,-21796.7,-21796.7,-21796.7,-21796.7,-21796.7,-18361.47,-18363.01,-18365.9,-17865.33,-17866.46,-17867.59,-13782.89,-13786.49,-13793.23,-12624.48,-12627.13,-12629.77,-9203.41,-9209.07,-9219.66,-7383.31,-7387.46,-7391.62,-4624,-4631.72,-4646.15,-2142.14,-2147.8,-2153.46
"0.0490.1Northern",-21796.7,-21796.7,-21796.7,-21796.7,-21796.7,-21796.7,-17213.2,-17214.74,-17217.63,-16551.4,-16552.53,-16553.66,-11104.17,-11107.77,-11114.51,-9558.97,-9561.62,-9564.26,-4993.94,-4999.6,-5010.19,-2566.11,-2570.26,-2574.42,1116.2,1108.48,1094.05,4426.75,4421.09,4415.43
"0.0230.3Northern",-4037.98,-4037.98,-4037.98,-4037.98,-4037.98,-4037.98,-1751.03,-1752.57,-1755.46,-1420.55,-1421.68,-1422.81,1297.1,1293.5,1286.76,2068.72,2066.07,2063.43,4345.83,4340.17,4329.58,5558.2,5554.05,5549.89,7394.51,7386.79,7372.36,9047.68,9042.02,9036.36
