"","0.00Fixed4.6","0.00Fixed6.4","0.00Fixed8.2","0.00Tracking4.6","0.00Tracking6.4","0.00Tracking8.2","0.25Fixed4.6","0.25Fixed6.4","0.25Fixed8.2","0.25Tracking4.6","0.25Tracking6.4","0.25Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.75Fixed4.6","0.75Fixed6.4","0.75Fixed8.2","0.75Tracking4.6","0.75Tracking6.4","0.75Tracking8.2","1.00Fixed4.6","1.00Fixed6.4","1.00Fixed8.2","1.00Tracking4.6","1.00Tracking6.4","1.00Tracking8.2"
"0.02110.1Northern",-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,-737.17,-738.72,-741.6,-406.7,-407.83,-408.96,2310.95,2307.35,2300.62,3082.57,3079.93,3077.28,5359.68,5354.02,5343.44,6572.05,6567.9,6563.75,8408.36,8400.65,8386.21,10061.53,10055.87,10050.21
"0.03110.1Northern",-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,411.1,409.55,406.67,907.23,906.1,904.97,4989.67,4986.07,4979.34,6148.08,6145.44,6142.79,9569.15,9563.49,9552.91,11389.25,11385.1,11380.95,14148.56,14140.85,14126.41,16630.42,16624.76,16619.1
"0.04110.1Northern",-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,1559.37,1557.82,1554.94,2221.16,2220.03,2218.9,7668.39,7664.79,7658.06,9213.59,9210.95,9208.3,13778.62,13772.96,13762.38,16206.45,16202.3,16198.15,19888.76,19881.05,19866.61,23199.31,23193.65,23187.99
"0.02140.1Northern",-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,-410.17,-411.72,-414.6,-79.7,-80.83,-81.96,2637.95,2634.35,2627.62,3409.57,3406.93,3404.28,5686.68,5681.02,5670.44,6899.05,6894.9,6890.75,8735.36,8727.65,8713.21,10388.53,10382.87,10377.21
"0.03140.1Northern",-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,738.1,736.55,733.67,1234.23,1233.1,1231.97,5316.67,5313.07,5306.34,6475.08,6472.44,6469.79,9896.15,9890.49,9879.91,11716.25,11712.1,11707.95,14475.56,14467.85,14453.41,16957.42,16951.76,16946.1
"0.04140.1Northern",-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,1886.37,1884.82,1881.94,2548.16,2547.03,2545.9,7995.39,7991.79,7985.06,9540.59,9537.95,9535.3,14105.62,14099.96,14089.38,16533.45,16529.3,16525.15,20215.76,20208.05,20193.61,23526.31,23520.65,23514.99
"0.02170.1Northern",-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,-83.17,-84.72,-87.6,247.3,246.17,245.04,2964.95,2961.35,2954.62,3736.57,3733.93,3731.28,6013.68,6008.02,5997.44,7226.05,7221.9,7217.75,9062.36,9054.65,9040.21,10715.53,10709.87,10704.21
"0.03170.1Northern",-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,1065.1,1063.55,1060.67,1561.23,1560.1,1558.97,5643.67,5640.07,5633.34,6802.08,6799.44,6796.79,10223.15,10217.49,10206.91,12043.25,12039.1,12034.95,14802.56,14794.85,14780.41,17284.42,17278.76,17273.1
"0.04170.1Northern",-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,2213.37,2211.82,2208.94,2875.16,2874.03,2872.9,8322.39,8318.79,8312.06,9867.59,9864.95,9862.3,14432.62,14426.96,14416.38,16860.45,16856.3,16852.15,20542.76,20535.05,20520.61,23853.31,23847.65,23841.99
"0.02110.3Northern",-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,666.33,664.78,661.9,996.8,995.67,994.54,3714.45,3710.85,3704.12,4486.07,4483.43,4480.78,6763.18,6757.52,6746.94,7975.55,7971.4,7967.25,9811.86,9804.15,9789.71,11465.03,11459.37,11453.71
"0.03110.3Northern",-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,1814.6,1813.05,1810.17,2310.73,2309.6,2308.47,6393.17,6389.57,6382.84,7551.58,7548.94,7546.29,10972.65,10966.99,10956.41,12792.75,12788.6,12784.45,15552.06,15544.35,15529.91,18033.92,18028.26,18022.6
"0.04110.3Northern",-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,2962.87,2961.32,2958.44,3624.66,3623.53,3622.4,9071.89,9068.29,9061.56,10617.09,10614.45,10611.8,15182.12,15176.46,15165.88,17609.95,17605.8,17601.65,21292.26,21284.55,21270.11,24602.81,24597.15,24591.49
"0.02140.3Northern",-639.63,-639.63,-639.63,-639.63,-639.63,-639.63,1647.33,1645.78,1642.9,1977.8,1976.67,1975.54,4695.45,4691.85,4685.12,5467.07,5464.43,5461.78,7744.18,7738.52,7727.94,8956.55,8952.4,8948.25,10792.86,10785.15,10770.71,12446.03,12440.37,12434.71
