,0.00Fixed4.6,0.00Fixed6.4,0.00Fixed8.2,0.00Tracking4.6,0.00Tracking6.4,0.00Tracking8.2,0.25Fixed4.6,0.25Fixed6.4,0.25Fixed8.2,0.25Tracking4.6,0.25Tracking6.4,0.25Tracking8.2,0.50Fixed4.6,0.50Fixed6.4,0.50Fixed8.2,0.50Tracking4.6,0.50Tracking6.4,0.50Tracking8.2,0.75Fixed4.6,0.75Fixed6.4,0.75Fixed8.2,0.75Tracking4.6,0.75Tracking6.4,0.75Tracking8.2,1.00Fixed4.6,1.00Fixed6.4,1.00Fixed8.2,1.00Tracking4.6,1.00Tracking6.4,1.00Tracking8.2
0.02110.1Northern,-6315.75,-6315.75,-6315.75,-6315.75,-6315.75,-6315.75,-4028.79,-4030.33,-4033.22,-3698.31,-3699.45,-3700.58,-980.66,-984.27,-991,-209.05,-211.69,-214.33,2068.06,2062.4,2051.82,3280.43,3276.28,3272.13,5116.75,5109.03,5094.6,6769.92,6764.25,6758.59
0.03110.1Northern,-6315.75,-6315.75,-6315.75,-6315.75,-6315.75,-6315.75,-2880.52,-2882.06,-2884.95,-2384.38,-2385.52,-2386.65,1698.06,1694.45,1687.72,2856.46,2853.82,2851.18,6277.53,6271.87,6261.29,8097.63,8093.48,8089.33,10856.95,10849.23,10834.8,13338.81,13333.14,13327.48
0.04110.1Northern,-6315.75,-6315.75,-6315.75,-6315.75,-6315.75,-6315.75,-1732.25,-1733.79,-1736.68,-1070.45,-1071.59,-1072.72,4376.78,4373.17,4366.44,5921.97,5919.33,5916.69,10487,10481.34,10470.76,12914.83,12910.68,12906.53,16597.15,16589.43,16575,19907.7,19902.03,19896.37
0.02140.1Northern,-9258.75,-9258.75,-9258.75,-9258.75,-9258.75,-9258.75,-6971.79,-6973.33,-6976.22,-6641.31,-6642.45,-6643.58,-3923.66,-3927.27,-3934,-3152.05,-3154.69,-3157.33,-874.94,-880.6,-891.18,337.43,333.28,329.13,2173.75,2166.03,2151.6,3826.92,3821.25,3815.59
0.03140.1Northern,-9258.75,-9258.75,-9258.75,-9258.75,-9258.75,-9258.75,-5823.52,-5825.06,-5827.95,-5327.38,-5328.52,-5329.65,-1244.94,-1248.55,-1255.28,-86.54,-89.18,-91.82,3334.53,3328.87,3318.29,5154.63,5150.48,5146.33,7913.95,7906.23,7891.8,10395.81,10390.14,10384.48
0.04140.1Northern,-9258.75,-9258.75,-9258.75,-9258.75,-9258.75,-9258.75,-4675.25,-4676.79,-4679.68,-4013.45,-4014.59,-4015.72,1433.78,1430.17,1423.44,2978.97,2976.33,2973.69,7544,7538.34,7527.76,9971.83,9967.68,9963.53,13654.15,13646.43,13632,16964.7,16959.03,16953.37
0.02170.1Northern,-12201.75,-12201.75,-12201.75,-12201.75,-12201.75,-12201.75,-9914.79,-9916.33,-9919.22,-9584.31,-9585.45,-9586.58,-6866.66,-6870.27,-6877,-6095.05,-6097.69,-6100.33,-3817.94,-3823.6,-3834.18,-2605.57,-2609.72,-2613.87,-769.25,-776.97,-791.4,883.92,878.25,872.59
0.03170.1Northern,-12201.75,-12201.75,-12201.75,-12201.75,-12201.75,-12201.75,-8766.52,-8768.06,-8770.95,-8270.38,-8271.52,-8272.65,-4187.94,-4191.55,-4198.28,-3029.54,-3032.18,-3034.82,391.53,385.87,375.29,2211.63,2207.48,2203.33,4970.95,4963.23,4948.8,7452.81,7447.14,7441.48
0.04170.1Northern,-12201.75,-12201.75,-12201.75,-12201.75,-12201.75,-12201.75,-7618.25,-7619.79,-7622.68,-6956.45,-6957.59,-6958.72,-1509.22,-1512.83,-1519.56,35.97,33.33,30.69,4601,4595.34,4584.76,7028.83,7024.68,7020.53,10711.15,10703.43,10689,14021.7,14016.03,14010.37
0.02110.3Northern,-4912.25,-4912.25,-4912.25,-4912.25,-4912.25,-4912.25,-2625.29,-2626.83,-2629.72,-2294.81,-2295.95,-2297.08,422.84,419.23,412.5,1194.45,1191.81,1189.17,3471.56,3465.9,3455.32,4683.93,4679.78,4675.63,6520.25,6512.53,6498.1,8173.42,8167.75,8162.09
0.03110.3Northern,-4912.25,-4912.25,-4912.25,-4912.25,-4912.25,-4912.25,-1477.02,-1478.56,-1481.45,-980.88,-982.02,-983.15,3101.56,3097.95,3091.22,4259.96,4257.32,4254.68,7681.03,7675.37,7664.79,9501.13,9496.98,9492.83,12260.45,12252.73,12238.3,14742.31,14736.64,14730.98
0.04110.3Northern,-4912.25,-4912.25,-4912.25,-4912.25,-4912.25,-4912.25,-328.75,-330.29,-333.18,333.05,331.91,330.78,5780.28,5776.67,5769.94,7325.47,7322.83,7320.19,11890.5,11884.84,11874.26,14318.33,14314.18,14310.03,18000.65,17992.93,17978.5,21311.2,21305.53,21299.87
0.02140.3Northern,-7201.25,-7201.25,-7201.25,-7201.25,-7201.25,-7201.25,-4914.29,-4915.83,-4918.72,-4583.81,-4584.95,-4586.08,-1866.16,-1869.77,-1876.5,-1094.55,-1097.19,-1099.83,1182.56,1176.9,1166.32,2394.93,2390.78,2386.63,4231.25,4223.53,4209.1,5884.42,5878.75,5873.09
0.03140.3Northern,-7201.25,-7201.25,-7201.25,-7201.25,-7201.25,-7201.25,-3766.02,-3767.56,-3770.45,-3269.88,-3271.02,-3272.15,812.56,808.95,802.22,1970.96,1968.32,1965.68,5392.03,5386.37,5375.79,7212.13,7207.98,7203.83,9971.45,9963.73,9949.3,12453.31,12447.64,12441.98
0.04140.3Northern,-7201.25,-7201.25,-7201.25,-7201.25,-7201.25,-7201.25,-2617.75,-2619.29,-2622.18,-1955.95,-1957.09,-1958.22,3491.28,3487.67,3480.94,5036.47,5033.83,5031.19,9601.5,9595.84,9585.26,12029.33,12025.18,12021.03,15711.65,15703.93,15689.5,19022.2,19016.53,19010.87
0.02170.3Northern,-9490.25,-9490.25,-9490.25,-9490.25,-9490.25,-9490.25,-7203.29,-7204.83,-7207.72,-6872.81,-6873.95,-6875.08,-4155.16,-4158.77,-4165.5,-3383.55,-3386.19,-3388.83,-1106.44,-1112.1,-1122.68,105.93,101.78,97.63,1942.25,1934.53,1920.1,3595.42,3589.75,3584.09
0.03170.3Northern,-9490.25,-9490.25,-9490.25,-9490.25,-9490.25,-9490.25,-6055.02,-6056.56,-6059.45,-5558.88,-5560.02,-5561.15,-1476.44,-1480.05,-1486.78,-318.04,-320.68,-323.32,3103.03,3097.37,3086.79,4923.13,4918.98,4914.83,7682.45,7674.73,7660.3,10164.31,10158.64,10152.98
0.04170.3Northern,-9490.25,-9490.25,-9490.25,-9490.25,-9490.25,-9490.25,-4906.75,-4908.29,-4911.18,-4244.95,-4246.09,-4247.22,1202.28,1198.67,1191.94,2747.47,2744.83,2742.19,7312.5,7306.84,7296.26,9740.33,9736.18,9732.03,13422.65,13414.93,13400.5,16733.2,16727.53,16721.87
0.02110.5Northern,-3508.75,-3508.75,-3508.75,-3508.75,-3508.75,-3508.75,-1221.79,-1223.33,-1226.22,-891.31,-892.45,-893.58,1826.34,1822.73,1816,2597.95,2595.31,2592.67,4875.06,4869.4,4858.82,6087.43,6083.28,6079.13,7923.75,7916.03,7901.6,9576.92,9571.25,9565.59
0.03110.5Northern,-3508.75,-3508.75,-3508.75,-3508.75,-3508.75,-3508.75,-73.52,-75.06,-77.95,422.62,421.48,420.35,4505.06,4501.45,4494.72,5663.46,5660.82,5658.18,9084.53,9078.87,9068.29,10904.63,10900.48,10896.33,13663.95,13656.23,13641.8,16145.81,16140.14,16134.48
0.04110.5Northern,-3508.75,-3508.75,-3508.75,-3508.75,-3508.75,-3508.75,1074.75,1073.21,1070.32,1736.55,1735.41,1734.28,7183.78,7180.17,7173.44,8728.97,8726.33,8723.69,13294,13288.34,13277.76,15721.83,15717.68,15713.53,19404.15,19396.43,19382,22714.7,22709.03,22703.37
0.02140.5Northern,-5143.75,-5143.75,-5143.75,-5143.75,-5143.75,-5143.75,-2856.79,-2858.33,-2861.22,-2526.31,-2527.45,-2528.58,191.34,187.73,181,962.95,960.31,957.67,3240.06,3234.4,3223.82,4452.43,4448.28,4444.13,6288.75,6281.03,6266.6,7941.92,7936.25,7930.59
0.03140.5Northern,-5143.75,-5143.75,-5143.75,-5143.75,-5143.75,-5143.75,-1708.52,-1710.06,-1712.95,-1212.38,-1213.52,-1214.65,2870.06,2866.45,2859.72,4028.46,4025.82,4023.18,7449.53,7443.87,7433.29,9269.63,9265.48,9261.33,12028.95,12021.23,12006.8,14510.81,14505.14,14499.48
0.04140.5Northern,-5143.75,-5143.75,-5143.75,-5143.75,-5143.75,-5143.75,-560.25,-561.79,-564.68,101.55,100.41,99.28,5548.78,5545.17,5538.44,7093.97,7091.33,7088.69,11659,11653.34,11642.76,14086.83,14082.68,14078.53,17769.15,17761.43,17747,21079.7,21074.03,21068.37
0.02170.5Northern,-6778.75,-6778.75,-6778.75,-6778.75,-6778.75,-6778.75,-4491.79,-4493.33,-4496.22,-4161.31,-4162.45,-4163.58,-1443.66,-1447.27,-1454,-672.05,-674.69,-677.33,1605.06,1599.4,1588.82,2817.43,2813.28,2809.13,4653.75,4646.03,4631.6,6306.92,6301.25,6295.59
0.03170.5Northern,-6778.75,-6778.75,-6778.75,-6778.75,-6778.75,-6778.75,-3343.52,-3345.06,-3347.95,-2847.38,-2848.52,-2849.65,1235.06,1231.45,1224.72,2393.46,2390.82,2388.18,5814.53,5808.87,5798.29,7634.63,7630.48,7626.33,10393.95,10386.23,10371.8,12875.81,12870.14,12864.48
0.04170.5Northern,-6778.75,-6778.75,-6778.75,-6778.75,-6778.75,-6778.75,-2195.25,-2196.79,-2199.68,-1533.45,-1534.59,-1535.72,3913.78,3910.17,3903.44,5458.97,5456.33,5453.69,10024,10018.34,10007.76,12451.83,12447.68,12443.53,16134.15,16126.43,16112,19444.7,19439.03,19433.37
0.02110.7Northern,-2105.25,-2105.25,-2105.25,-2105.25,-2105.25,-2105.25,181.71,180.17,177.28,512.19,511.05,509.92,3229.84,3226.23,3219.5,4001.45,3998.81,3996.17,6278.56,6272.9,6262.32,7490.93,7486.78,7482.63,9327.25,9319.53,9305.1,10980.42,10974.75,10969.09
0.03110.7Northern,-2105.25,-2105.25,-2105.25,-2105.25,-2105.25,-2105.25,1329.98,1328.44,1325.55,1826.12,1824.98,1823.85,5908.56,5904.95,5898.22,7066.96,7064.32,7061.68,10488.03,10482.37,10471.79,12308.13,12303.98,12299.83,15067.45,15059.73,15045.3,17549.31,17543.64,17537.98
0.04110.7Northern,-2105.25,-2105.25,-2105.25,-2105.25,-2105.25,-2105.25,2478.25,2476.71,2473.82,3140.05,3138.91,3137.78,8587.28,8583.67,8576.94,10132.47,10129.83,10127.19,14697.5,14691.84,14681.26,17125.33,17121.18,17117.03,20807.65,20799.93,20785.5,24118.2,24112.53,24106.87
0.02140.7Northern,-3086.25,-3086.25,-3086.25,-3086.25,-3086.25,-3086.25,-799.29,-800.83,-803.72,-468.81,-469.95,-471.08,2248.84,2245.23,2238.5,3020.45,3017.81,3015.17,5297.56,5291.9,5281.32,6509.93,6505.78,6501.63,8346.25,8338.53,8324.1,9999.42,9993.75,9988.09
0.03140.7Northern,-3086.25,-3086.25,-3086.25,-3086.25,-3086.25,-3086.25,348.98,347.44,344.55,845.12,843.98,842.85,4927.56,4923.95,4917.22,6085.96,6083.32,6080.68,9507.03,9501.37,9490.79,11327.13,11322.98,11318.83,14086.45,14078.73,14064.3,16568.31,16562.64,16556.98
0.04140.7Northern,-3086.25,-3086.25,-3086.25,-3086.25,-3086.25,-3086.25,1497.25,1495.71,1492.82,2159.05,2157.91,2156.78,7606.28,7602.67,7595.94,9151.47,9148.83,9146.19,13716.5,13710.84,13700.26,16144.33,16140.18,16136.03,19826.65,19818.93,19804.5,23137.2,23131.53,23125.87
0.02170.7Northern,-4067.25,-4067.25,-4067.25,-4067.25,-4067.25,-4067.25,-1780.29,-1781.83,-1784.72,-1449.81,-1450.95,-1452.08,1267.84,1264.23,1257.5,2039.45,2036.81,2034.17,4316.56,4310.9,4300.32,5528.93,5524.78,5520.63,7365.25,7357.53,7343.1,9018.42,9012.75,9007.09
0.03170.7Northern,-4067.25,-4067.25,-4067.25,-4067.25,-4067.25,-4067.25,-632.02,-633.56,-636.45,-135.88,-137.02,-138.15,3946.56,3942.95,3936.22,5104.96,5102.32,5099.68,8526.03,8520.37,8509.79,10346.13,10341.98,10337.83,13105.45,13097.73,13083.3,15587.31,15581.64,15575.98
0.04170.7Northern,-4067.25,-4067.25,-4067.25,-4067.25,-4067.25,-4067.25,516.25,514.71,511.82,1178.05,1176.91,1175.78,6625.28,6621.67,6614.94,8170.47,8167.83,8165.19,12735.5,12729.84,12719.26,15163.33,15159.18,15155.03,18845.65,18837.93,18823.5,22156.2,22150.53,22144.87
0.02111.0Northern,0,0,0,0,0,0,2286.96,2285.42,2282.53,2617.44,2616.3,2615.17,5335.09,5331.48,5324.75,6106.7,6104.06,6101.42,8383.81,8378.15,8367.57,9596.18,9592.03,9587.88,11432.5,11424.78,11410.35,13085.67,13080,13074.34
0.03111.0Northern,0,0,0,0,0,0,3435.23,3433.69,3430.8,3931.37,3930.23,3929.1,8013.81,8010.2,8003.47,9172.21,9169.57,9166.93,12593.28,12587.62,12577.04,14413.38,14409.23,14405.08,17172.7,17164.98,17150.55,19654.56,19648.89,19643.23
0.04111.0Northern,0,0,0,0,0,0,4583.5,4581.96,4579.07,5245.3,5244.16,5243.03,10692.53,10688.92,10682.19,12237.72,12235.08,12232.44,16802.75,16797.09,16786.51,19230.58,19226.43,19222.28,22912.9,22905.18,22890.75,26223.45,26217.78,26212.12
