,0.00Fixed4.6,0.00Fixed6.4,0.00Fixed8.2,0.00Tracking4.6,0.00Tracking6.4,0.00Tracking8.2,0.25Fixed4.6,0.25Fixed6.4,0.25Fixed8.2,0.25Tracking4.6,0.25Tracking6.4,0.25Tracking8.2,0.50Fixed4.6,0.50Fixed6.4,0.50Fixed8.2,0.50Tracking4.6,0.50Tracking6.4,0.50Tracking8.2,0.75Fixed4.6,0.75Fixed6.4,0.75Fixed8.2,0.75Tracking4.6,0.75Tracking6.4,0.75Tracking8.2,1.00Fixed4.6,1.00Fixed6.4,1.00Fixed8.2,1.00Tracking4.6,1.00Tracking6.4,1.00Tracking8.2
0.02170.1Northern,-14526,-14526,-14526,-14526,-14526,-14526,-12239.04,-12240.58,-12243.47,-11908.56,-11909.7,-11910.83,-9190.91,-9194.52,-9201.25,-8419.3,-8421.94,-8424.58,-6142.19,-6147.85,-6158.43,-4929.82,-4933.97,-4938.12,-3093.5,-3101.22,-3115.65,-1440.33,-1446,-1451.66
0.03170.1Northern,-14526,-14526,-14526,-14526,-14526,-14526,-11090.77,-11092.31,-11095.2,-10594.63,-10595.77,-10596.9,-6512.19,-6515.8,-6522.53,-5353.79,-5356.43,-5359.07,-1932.72,-1938.38,-1948.96,-112.62,-116.77,-120.92,2646.7,2638.98,2624.55,5128.56,5122.89,5117.23
0.04170.1Northern,-14526,-14526,-14526,-14526,-14526,-14526,-9942.5,-9944.04,-9946.93,-9280.7,-9281.84,-9282.97,-3833.47,-3837.08,-3843.81,-2288.28,-2290.92,-2293.56,2276.75,2271.09,2260.51,4704.58,4700.43,4696.28,8386.9,8379.18,8364.75,11697.45,11691.78,11686.12
0.02200.1Northern,-18198,-18198,-18198,-18198,-18198,-18198,-15911.04,-15912.58,-15915.47,-15580.56,-15581.7,-15582.83,-12862.91,-12866.52,-12873.25,-12091.3,-12093.94,-12096.58,-9814.19,-9819.85,-9830.43,-8601.82,-8605.97,-8610.12,-6765.5,-6773.22,-6787.65,-5112.33,-5118,-5123.66
0.03200.1Northern,-18198,-18198,-18198,-18198,-18198,-18198,-14762.77,-14764.31,-14767.2,-14266.63,-14267.77,-14268.9,-10184.19,-10187.8,-10194.53,-9025.79,-9028.43,-9031.07,-5604.72,-5610.38,-5620.96,-3784.62,-3788.77,-3792.92,-1025.3,-1033.02,-1047.45,1456.56,1450.89,1445.23
0.04200.1Northern,-18198,-18198,-18198,-18198,-18198,-18198,-13614.5,-13616.04,-13618.93,-12952.7,-12953.84,-12954.97,-7505.47,-7509.08,-7515.81,-5960.28,-5962.92,-5965.56,-1395.25,-1400.91,-1411.49,1032.58,1028.43,1024.28,4714.9,4707.18,4692.75,8025.45,8019.78,8014.12
0.02230.1Northern,-21870,-21870,-21870,-21870,-21870,-21870,-19583.04,-19584.58,-19587.47,-19252.56,-19253.7,-19254.83,-16534.91,-16538.52,-16545.25,-15763.3,-15765.94,-15768.58,-13486.19,-13491.85,-13502.43,-12273.82,-12277.97,-12282.12,-10437.5,-10445.22,-10459.65,-8784.33,-8790,-8795.66
0.03230.1Northern,-21870,-21870,-21870,-21870,-21870,-21870,-18434.77,-18436.31,-18439.2,-17938.63,-17939.77,-17940.9,-13856.19,-13859.8,-13866.53,-12697.79,-12700.43,-12703.07,-9276.72,-9282.38,-9292.96,-7456.62,-7460.77,-7464.92,-4697.3,-4705.02,-4719.45,-2215.44,-2221.11,-2226.77
0.04230.1Northern,-21870,-21870,-21870,-21870,-21870,-21870,-17286.5,-17288.04,-17290.93,-16624.7,-16625.84,-16626.97,-11177.47,-11181.08,-11187.81,-9632.28,-9634.92,-9637.56,-5067.25,-5072.91,-5083.49,-2639.42,-2643.57,-2647.72,1042.9,1035.18,1020.75,4353.45,4347.78,4342.12
0.02170.3Northern,-11298,-11298,-11298,-11298,-11298,-11298,-9011.04,-9012.58,-9015.47,-8680.56,-8681.7,-8682.83,-5962.91,-5966.52,-5973.25,-5191.3,-5193.94,-5196.58,-2914.19,-2919.85,-2930.43,-1701.82,-1705.97,-1710.12,134.5,126.78,112.35,1787.67,1782,1776.34
