"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.01_3_0.1_Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-11550.85,-11552.39,-11555.28,-11381.22,-11382.35,-11383.48,-10018.22,-10021.83,-10028.56,-9622.21,-9624.85,-9627.49,-8485.31,-8490.97,-8501.56,-7863.09,-7867.24,-7871.4,-6952.42,-6960.14,-6974.57,-6103.97,-6109.64,-6115.3
"0.03_3_0.1_Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-9231.9,-9233.44,-9236.33,-8721.33,-8722.46,-8723.59,-4608.48,-4612.09,-4618.82,-3416.51,-3419.15,-3421.79,15.8,10.14,-0.45,1888.64,1884.49,1880.33,4640.03,4632.31,4617.88,7193.79,7188.12,7182.46
"0.06_3_0.1_Northern",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-5753.47,-5755.01,-5757.9,-4731.49,-4732.63,-4733.76,3506.13,3502.52,3495.79,5892.04,5889.4,5886.76,12767.46,12761.8,12751.22,16516.23,16512.08,16507.93,22028.71,22020.99,22006.56,27140.43,27134.76,27129.1
"0.01_6_0.1_Northern",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-10628.35,-10629.89,-10632.78,-10458.72,-10459.85,-10460.98,-9095.72,-9099.33,-9106.06,-8699.71,-8702.35,-8704.99,-7562.81,-7568.47,-7579.06,-6940.59,-6944.74,-6948.9,-6029.92,-6037.64,-6052.07,-5181.47,-5187.14,-5192.8
"0.03_6_0.1_Northern",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-8309.4,-8310.94,-8313.83,-7798.83,-7799.96,-7801.09,-3685.98,-3689.59,-3696.32,-2494.01,-2496.65,-2499.29,938.3,932.64,922.05,2811.14,2806.99,2802.83,5562.53,5554.81,5540.38,8116.29,8110.62,8104.96
"0.06_6_0.1_Northern",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-4830.97,-4832.51,-4835.4,-3808.99,-3810.13,-3811.26,4428.63,4425.02,4418.29,6814.54,6811.9,6809.26,13689.96,13684.3,13673.72,17438.73,17434.58,17430.43,22951.21,22943.49,22929.06,28062.93,28057.26,28051.6
"0.01_9_0.1_Northern",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-9705.85,-9707.39,-9710.28,-9536.22,-9537.35,-9538.48,-8173.22,-8176.83,-8183.56,-7777.21,-7779.85,-7782.49,-6640.31,-6645.97,-6656.56,-6018.09,-6022.24,-6026.4,-5107.42,-5115.14,-5129.57,-4258.97,-4264.64,-4270.3
"0.03_9_0.1_Northern",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-7386.9,-7388.44,-7391.33,-6876.33,-6877.46,-6878.59,-2763.48,-2767.09,-2773.82,-1571.51,-1574.15,-1576.79,1860.8,1855.14,1844.55,3733.64,3729.49,3725.33,6485.03,6477.31,6462.88,9038.79,9033.12,9027.46
"0.06_9_0.1_Northern",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-3908.47,-3910.01,-3912.9,-2886.49,-2887.63,-2888.76,5351.13,5347.52,5340.79,7737.04,7734.4,7731.76,14612.46,14606.8,14596.22,18361.23,18357.08,18352.93,23873.71,23865.99,23851.56,28985.43,28979.76,28974.1
"0.01_3_0.3_Northern",-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-10397.14,-10398.68,-10401.57,-10227.51,-10228.64,-10229.77,-8864.51,-8868.12,-8874.85,-8468.5,-8471.14,-8473.78,-7331.6,-7337.26,-7347.85,-6709.38,-6713.53,-6717.69,-5798.71,-5806.43,-5820.86,-4950.26,-4955.93,-4961.59
