"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.02_11_0.1_Northern",-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,-714.76,-716.31,-719.19,-374.67,-375.8,-376.93,2363.25,2359.65,2352.92,3157.25,3154.61,3151.96,5441.85,5436.19,5425.61,6689.38,6685.23,6681.08,8520.41,8512.7,8498.26,10221.51,10215.85,10210.19
"0.03_11_0.1_Northern",-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,444.71,443.17,440.28,955.28,954.15,953.01,5068.12,5064.52,5057.79,6260.1,6257.46,6254.81,9692.4,9686.74,9676.16,11565.25,11561.09,11556.94,14316.64,14308.92,14294.49,16870.39,16864.73,16859.07
"0.04_11_0.1_Northern",-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,-3024.13,1604.19,1602.64,1599.76,2285.22,2284.09,2282.96,7772.99,7769.39,7762.66,9362.95,9360.31,9357.66,13942.96,13937.3,13926.72,16441.11,16436.96,16432.81,20112.86,20105.15,20090.71,23519.27,23513.61,23507.95
"0.02_14_0.1_Northern",-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,-387.76,-389.31,-392.19,-47.67,-48.8,-49.93,2690.25,2686.65,2679.92,3484.25,3481.61,3478.96,5768.85,5763.19,5752.61,7016.38,7012.23,7008.08,8847.41,8839.7,8825.26,10548.51,10542.85,10537.19
"0.03_14_0.1_Northern",-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,771.71,770.17,767.28,1282.28,1281.15,1280.01,5395.12,5391.52,5384.79,6587.1,6584.46,6581.81,10019.4,10013.74,10003.16,11892.25,11888.09,11883.94,14643.64,14635.92,14621.49,17197.39,17191.73,17186.07
"0.04_14_0.1_Northern",-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,-2697.13,1931.19,1929.64,1926.76,2612.22,2611.09,2609.96,8099.99,8096.39,8089.66,9689.95,9687.31,9684.66,14269.96,14264.3,14253.72,16768.11,16763.96,16759.81,20439.86,20432.15,20417.71,23846.27,23840.61,23834.95
"0.02_17_0.1_Northern",-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,-60.76,-62.31,-65.19,279.33,278.2,277.07,3017.25,3013.65,3006.92,3811.25,3808.61,3805.96,6095.85,6090.19,6079.61,7343.38,7339.23,7335.08,9174.41,9166.7,9152.26,10875.51,10869.85,10864.19
"0.03_17_0.1_Northern",-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,1098.71,1097.17,1094.28,1609.28,1608.15,1607.01,5722.12,5718.52,5711.79,6914.1,6911.46,6908.81,10346.4,10340.74,10330.16,12219.25,12215.09,12210.94,14970.64,14962.92,14948.49,17524.39,17518.73,17513.07
"0.04_17_0.1_Northern",-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,-2370.13,2258.19,2256.64,2253.76,2939.22,2938.09,2936.96,8426.99,8423.39,8416.66,10016.95,10014.31,10011.66,14596.96,14591.3,14580.72,17095.11,17090.96,17086.81,20766.86,20759.15,20744.71,24173.27,24167.61,24161.95
"0.02_11_0.3_Northern",-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,688.74,687.19,684.31,1028.83,1027.7,1026.57,3766.75,3763.15,3756.42,4560.75,4558.11,4555.46,6845.35,6839.69,6829.11,8092.88,8088.73,8084.58,9923.91,9916.2,9901.76,11625.01,11619.35,11613.69
"0.03_11_0.3_Northern",-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,1848.21,1846.67,1843.78,2358.78,2357.65,2356.51,6471.62,6468.02,6461.29,7663.6,7660.96,7658.31,11095.9,11090.24,11079.66,12968.75,12964.59,12960.44,15720.14,15712.42,15697.99,18273.89,18268.23,18262.57
"0.04_11_0.3_Northern",-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,-1620.63,3007.69,3006.14,3003.26,3688.72,3687.59,3686.46,9176.49,9172.89,9166.16,10766.45,10763.81,10761.16,15346.46,15340.8,15330.22,17844.61,17840.46,17836.31,21516.36,21508.65,21494.21,24922.77,24917.11,24911.45
"0.02_14_0.3_Northern",-639.63,-639.63,-639.63,-639.63,-639.63,-639.63,1669.74,1668.19,1665.31,2009.83,2008.7,2007.57,4747.75,4744.15,4737.42,5541.75,5539.11,5536.46,7826.35,7820.69,7810.11,9073.88,9069.73,9065.58,10904.91,10897.2,10882.76,12606.01,12600.35,12594.69
"0.03_14_0.3_Northern",-639.63,-639.63,-639.63,-639.63,-639.63,-639.63,2829.21,2827.67,2824.78,3339.78,3338.65,3337.51,7452.62,7449.02,7442.29,8644.6,8641.96,8639.31,12076.9,12071.24,12060.66,13949.75,13945.59,13941.44,16701.14,16693.42,16678.99,19254.89,19249.23,19243.57
"0.04_14_0.3_Northern",-639.63,-639.63,-639.63,-639.63,-639.63,-639.63,3988.69,3987.14,3984.26,4669.72,4668.59,4667.46,10157.49,10153.89,10147.16,11747.45,11744.81,11742.16,16327.46,16321.8,16311.22,18825.61,18821.46,18817.31,22497.36,22489.65,22475.21,25903.77,25898.11,25892.45
