"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.02_17_0.1_Northern",-8986.62,-8986.62,-8986.62,-8986.62,-8986.62,-8986.62,-6677.25,-6678.79,-6681.68,-6337.15,-6338.28,-6339.42,-3599.23,-3602.83,-3609.57,-2805.24,-2807.88,-2810.52,-520.64,-526.3,-536.88,726.9,722.74,718.59,2557.93,2550.21,2535.78,4259.03,4253.37,4247.7
"0.03_17_0.1_Northern",-8986.62,-8986.62,-8986.62,-8986.62,-8986.62,-8986.62,-5517.77,-5519.32,-5522.2,-5007.21,-5008.34,-5009.47,-894.36,-897.96,-904.7,297.61,294.97,292.33,3729.92,3724.26,3713.68,5602.76,5598.61,5594.46,8354.15,8346.44,8332.01,10907.91,10902.25,10896.58
"0.04_17_0.1_Northern",-8986.62,-8986.62,-8986.62,-8986.62,-8986.62,-8986.62,-4358.3,-4359.84,-4362.73,-3677.26,-3678.39,-3679.53,1810.51,1806.91,1800.17,3400.46,3397.82,3395.18,7980.47,7974.81,7964.23,10478.63,10474.47,10470.32,14150.38,14142.66,14128.23,17556.79,17551.13,17545.46
"0.02_20_0.1_Northern",-8578.62,-8578.62,-8578.62,-8578.62,-8578.62,-8578.62,-6269.25,-6270.79,-6273.68,-5929.15,-5930.28,-5931.42,-3191.23,-3194.83,-3201.57,-2397.24,-2399.88,-2402.52,-112.64,-118.3,-128.88,1134.9,1130.74,1126.59,2965.93,2958.21,2943.78,4667.03,4661.37,4655.7
"0.03_20_0.1_Northern",-8578.62,-8578.62,-8578.62,-8578.62,-8578.62,-8578.62,-5109.77,-5111.32,-5114.2,-4599.21,-4600.34,-4601.47,-486.36,-489.96,-496.7,705.61,702.97,700.33,4137.92,4132.26,4121.68,6010.76,6006.61,6002.46,8762.15,8754.44,8740.01,11315.91,11310.25,11304.58
"0.04_20_0.1_Northern",-8578.62,-8578.62,-8578.62,-8578.62,-8578.62,-8578.62,-3950.3,-3951.84,-3954.73,-3269.26,-3270.39,-3271.53,2218.51,2214.91,2208.17,3808.46,3805.82,3803.18,8388.47,8382.81,8372.23,10886.63,10882.47,10878.32,14558.38,14550.66,14536.23,17964.79,17959.13,17953.46
"0.02_23_0.1_Northern",-8170.62,-8170.62,-8170.62,-8170.62,-8170.62,-8170.62,-5861.25,-5862.79,-5865.68,-5521.15,-5522.28,-5523.42,-2783.23,-2786.83,-2793.57,-1989.24,-1991.88,-1994.52,295.36,289.7,279.12,1542.9,1538.74,1534.59,3373.93,3366.21,3351.78,5075.03,5069.37,5063.7
"0.03_23_0.1_Northern",-8170.62,-8170.62,-8170.62,-8170.62,-8170.62,-8170.62,-4701.77,-4703.32,-4706.2,-4191.21,-4192.34,-4193.47,-78.36,-81.96,-88.7,1113.61,1110.97,1108.33,4545.92,4540.26,4529.68,6418.76,6414.61,6410.46,9170.15,9162.44,9148.01,11723.91,11718.25,11712.58
"0.04_23_0.1_Northern",-8170.62,-8170.62,-8170.62,-8170.62,-8170.62,-8170.62,-3542.3,-3543.84,-3546.73,-2861.26,-2862.39,-2863.53,2626.51,2622.91,2616.17,4216.46,4213.82,4211.18,8796.47,8790.81,8780.23,11294.63,11290.47,11286.32,14966.38,14958.66,14944.23,18372.79,18367.13,18361.46
"0.02_17_0.3_Northern",-5758.62,-5758.62,-5758.62,-5758.62,-5758.62,-5758.62,-3449.25,-3450.79,-3453.68,-3109.15,-3110.28,-3111.42,-371.23,-374.83,-381.57,422.76,420.12,417.48,2707.36,2701.7,2691.12,3954.9,3950.74,3946.59,5785.93,5778.21,5763.78,7487.03,7481.37,7475.7
"0.03_17_0.3_Northern",-5758.62,-5758.62,-5758.62,-5758.62,-5758.62,-5758.62,-2289.77,-2291.32,-2294.2,-1779.21,-1780.34,-1781.47,2333.64,2330.04,2323.3,3525.61,3522.97,3520.33,6957.92,6952.26,6941.68,8830.76,8826.61,8822.46,11582.15,11574.44,11560.01,14135.91,14130.25,14124.58
"0.04_17_0.3_Northern",-5758.62,-5758.62,-5758.62,-5758.62,-5758.62,-5758.62,-1130.3,-1131.84,-1134.73,-449.26,-450.39,-451.53,5038.51,5034.91,5028.17,6628.46,6625.82,6623.18,11208.47,11202.81,11192.23,13706.63,13702.47,13698.32,17378.38,17370.66,17356.23,20784.79,20779.13,20773.46
